meae_id,type,congress,state,geography,level,election_id,election_office,district,year,election_type
meae.congressional.congress12.ky.county,congressional,12,KY,county,state,ky.uscongress5.1810,U.S. House of Representatives,5,1810,general
meae.congressional.congress12.ky.county,congressional,12,KY,county,state,ky.uscongress6.1810,U.S. House of Representatives,6,1810,general
meae.congressional.congress12.ky.county,congressional,12,KY,county,state,ky.uscongress3.1810,U.S. House of Representatives,3,1810,general
meae.congressional.congress12.ky.county,congressional,12,KY,county,state,ky.uscongress2.1810,U.S. House of Representatives,2,1810,general
meae.congressional.congress12.ky.county,congressional,12,KY,county,state,ky.uscongress1.1810,U.S. House of Representatives,1,1810,general
meae.congressional.congress13.ky.county,congressional,13,KY,county,state,ky.uscongress9.1812,U.S. House of Representatives,9,1812,general
meae.congressional.congress13.ky.county,congressional,13,KY,county,state,ky.uscongress8.1812,U.S. House of Representatives,8,1812,general
meae.congressional.congress13.ky.county,congressional,13,KY,county,state,ky.uscongress10.1812,U.S. House of Representatives,10,1812,general
meae.congressional.congress14.ky.county,congressional,14,KY,county,state,ky.uscongress2.1814,U.S. House of Representatives,2,1814,general
meae.congressional.congress14.ky.county,congressional,14,KY,county,state,ky.uscongress10.1814,U.S. House of Representatives,10,1814,general
meae.congressional.congress14.ky.county,congressional,14,KY,county,state,ky.uscongress6.1814,U.S. House of Representatives,6,1814,general
meae.congressional.congress14.ky.county,congressional,14,KY,county,state,ky.uscongress9.1814,U.S. House of Representatives,9,1814,general
meae.congressional.congress14.ky.county,congressional,14,KY,county,state,ky.uscongress8.1814,U.S. House of Representatives,8,1814,general
meae.congressional.congress15.ky.county,congressional,15,KY,county,state,ky.uscongress9.1816,U.S. House of Representatives,9,1816,general
meae.congressional.congress16.ky.county,congressional,16,KY,county,state,ky.uscongress9.1818,U.S. House of Representatives,9,1818,general
meae.congressional.congress16.ky.county,congressional,16,KY,county,state,ky.uscongress8.1818,U.S. House of Representatives,8,1818,general
meae.congressional.congress16.ky.county,congressional,16,KY,county,state,ky.uscongress7.1818,U.S. House of Representatives,7,1818,general
meae.congressional.congress17.ky.county,congressional,17,KY,county,state,ky.uscongress10.1820,U.S. House of Representatives,10,1820,general
meae.congressional.congress17.ky.county,congressional,17,KY,county,state,ky.uscongress5.1820,U.S. House of Representatives,5,1820,general
meae.congressional.congress17.ky.county,congressional,17,KY,county,state,ky.uscongress4.1820,U.S. House of Representatives,4,1820,general
meae.congressional.congress17.ky.county,congressional,17,KY,county,state,ky.uscongress9.1820,U.S. House of Representatives,9,1820,general
meae.congressional.congress18.ky.county,congressional,18,KY,county,state,ky.uscongress8.1822,U.S. House of Representatives,8,1822,general
meae.congressional.congress18.ky.county,congressional,18,KY,county,state,ky.uscongress12.1822,U.S. House of Representatives,12,1822,general
meae.congressional.congress18.ky.county,congressional,18,KY,county,state,ky.uscongress11.1822,U.S. House of Representatives,11,1822,general
meae.congressional.congress18.ky.county,congressional,18,KY,county,state,ky.uscongress10.1822,U.S. House of Representatives,10,1822,general
meae.congressional.congress19.ky.county,congressional,19,KY,county,state,ky.uscongress12.1824,U.S. House of Representatives,12,1824,general
meae.congressional.congress19.ky.county,congressional,19,KY,county,state,ky.uscongress1.1824,U.S. House of Representatives,1,1824,general
meae.congressional.congress12.la.county,congressional,12,LA,county,state,la.uscongress12thspecial.1812,U.S. House of Representatives,NA,1812,special
meae.congressional.congress15.la.county,congressional,15,LA,county,state,la.uscongress.1816,U.S. House of Representatives,NA,1816,general
meae.congressional.congress17.la.county,congressional,17,LA,county,state,la.uscongress.1820,U.S. House of Representatives,NA,1820,general
meae.congressional.congress18.la.county,congressional,18,LA,county,state,la.uscongress3.1822,U.S. House of Representatives,3,1822,general
meae.congressional.congress18.la.county,congressional,18,LA,county,state,la.uscongress2.1822,U.S. House of Representatives,2,1822,general
meae.congressional.congress18.la.county,congressional,18,LA,county,state,la.uscongress1.1822,U.S. House of Representatives,1,1822,general
meae.congressional.congress19.la.county,congressional,19,LA,county,state,la.uscongress2.1824,U.S. House of Representatives,2,1824,general
meae.congressional.congress19.la.county,congressional,19,LA,county,state,la.uscongress1.1824,U.S. House of Representatives,1,1824,general
meae.congressional.congress19.la.county,congressional,19,LA,county,state,la.uscongress3.1824,U.S. House of Representatives,3,1824,general
meae.congressional.congress13.ma.county,congressional,13,MA,county,state,ma.uscongress.hampshirenorth.1812,U.S. House of Representatives,6,1812,general
meae.congressional.congress18.ma.county,congressional,18,MA,county,state,ma.uscongress.suffolk.1822,U.S. House of Representatives,1,1822,general
meae.congressional.congress17.me.county,congressional,17,ME,county,state,me.uscongress4.thirdrunoff.1821,U.S. House of Representatives,4,1821,general
meae.congressional.congress01.nc.county,congressional,1,NC,county,state,nc.uscongress5.1790,U.S. House of Representatives,5,1790,general
meae.congressional.congress02.nc.county,congressional,2,NC,county,state,nc.uscongress3.1791,U.S. House of Representatives,3,1791,general
meae.congressional.congress03.nc.county,congressional,3,NC,county,state,nc.uscongress9.1793,U.S. House of Representatives,9,1793,general
