nnv_id,nnv_date,nnv_district,congressional_id
va.uscongress.8.1789,1789,Eight,51001002008
va.uscongress.5.1789,1789,Five,51001002005
va.uscongress.4.1789,1789,Four,51001002004
va.uscongress.9.1789,1789,Nine,51001002009
va.uscongress.1.1789,1789,One,51001002001
va.uscongress.7.1789,1789,Seven,51001002007
va.uscongress.6.1789,1789,Six,51001002006
va.uscongress.10.1789,1789,Ten,51001002010
va.uscongress.3.1789,1789,Three,51001002003
va.uscongress.2.1789,1789,Two,51001002002
va.uscongress.8.1790,1790,Eight,51001002008
va.uscongress.5.1790,1790,Five,51001002005
va.uscongress.9.1790,1790,Nine,51001002009
va.uscongress.7.1790,1790,Seven,51001002007
va.uscongress.6.1790,1790,Six,51001002006
va.uscongress.10.1790,1790,Ten,51001002010
va.uscongress.4.1790,1790,Three,51001002003
va.uscongress.2.1790,1790,Two,51001002002
va.uscongress.3.1792,1792,Three,51001002003
va.uscongress.8.1793,1793,Eight,51003007008
va.uscongress.18.1793,1793,Eighteen,51003007018
va.uscongress.11.1793,1793,Eleven,51003007011
va.uscongress.15.1793,1793,Fifteen,51003007015
va.uscongress.5.1793,1793,Five,51003007005
va.uscongress.4.1793,1793,Four,51003007004
va.uscongress.14.1793,1793,Fourteen,51003007014
va.uscongress.9.1793,1793,Nine,51003007009
va.uscongress.19.1793,1793,Nineteen,51003007019
va.uscongress.1793,1793,One,51003007001
va.uscongress.7.1793,1793,Seven,51003007007
va.uscongress.17.1793,1793,Seventeen,51003007017
va.uscongress.6.1793,1793,Six,51003007006
va.uscongress.16.1793,1793,Sixteen,51003007016
va.uscongress.10.1793,1793,Ten,51003007010
va.uscongress.13.1793,1793,Thirteen,51003007013
va.uscongress.3.1793,1793,Three,51003007003
va.uscongress.12.1793,1793,Twelve,51003007012
va.uscongress.2.1793,1793,Two,51003007002
va.uscongress.8.1795,1795,Eight,51003007008
va.uscongress.18.1795,1795,Eighteen,51003007018
va.uscongress.11.1795,1795,Eleven,51003007011
va.uscongress.15.1795,1795,Fifteen,51003007015
va.uscongress.5.1795,1795,Five,51003007005
va.uscongress.4.1795,1795,Four,51003007004
va.uscongress.14.1795,1795,Fourteen,51003007014
va.uscongress.9.1795,1795,Nine,51003007009
va.uscongress.19.1795,1795,Nineteen,51003007019
va.uscongress.1.1795,1795,One,51003007001
va.uscongress.7.1795,1795,Seven,51003007007
va.uscongress.17.1795,1795,Seventeen,51003007017
va.uscongress.6.1795,1795,Six,51003007006
va.uscongress.16.1795,1795,Sixteen,51003007016
va.uscongress.10.1795,1795,Ten,51003007010
va.uscongress.13.1795,1795,Thirteen,51003007013
va.uscongress.3.1795,1795,Three,51003007003
va.uscongress.12.1795,1795,Twelve,51003007012
va.uscongress.2.1795,1795,Two,51003007002
va.uscongress.8.1797,1797,Eight,51003007008
va.uscongress.18.1797,1797,Eighteen,51003007018
va.uscongress.11.1797,1797,Eleven,51003007011
va.uscongress.15.1797,1797,Fifteen,51003007015
va.uscongress.5.1797,1797,Five,51003007005
va.uscongress.4.1797,1797,Four,51003007004
va.uscongress.14.1797,1797,Fourteen,51003007014
va.uscongress.9.1797,1797,Nine,51003007009
va.uscongress.19.1797,1797,Nineteen,51003007019
va.uscongress.7.1797,1797,Seven,51003007007
va.uscongress.17.1797,1797,Seventeen,51003007017
va.uscongress.6.1797,1797,Six,51003007006
va.uscongress.16.1797,1797,Sixteen,51003007016
va.uscongress.10.1797,1797,Ten,51003007010
va.uscongress.13.1797,1797,Thirteen,51003007013
va.uscongress.3.1797,1797,Three,51003007003
va.uscongress.12.1797,1797,Twelve,51003007012
va.uscongress.2.1797,1797,Two,51003007002
va.uscongress.9.special.1798,1798,Nine,51003007009
va.uscongress.8.1799,1799,Eight,51003007008
va.uscongress.5.1799,1799,Five,51003007005
va.uscongress.4.1799,1799,Four,51003007004
va.uscongress.14.1799,1799,Fourteen,51003007014
va.uscongress.9.1799,1799,Nine,51003007009
va.uscongress.19.1799,1799,Nineteen,51003007019
va.uscongress.1.1799,1799,One,51003007001
va.uscongress.7.1799,1799,Seven,51003007007
va.uscongress.6.1799,1799,Six,51003007006
va.uscongress.16.1799,1799,Sixteen,51003007016
va.uscongress.10.1799,1799,Ten,51003007010
va.uscongress.13.1799,1799,Thirteen,51003007013
va.uscongress.12.1799,1799,Twelve,51003007012
va.uscongress.2.1799,1799,Two,51003007002
va.special.uscongress.13.1800,1800,Thirteen,51003007013
va.uscongress.8.1801,1801,Eight,51003007008
va.uscongress.18.1801,1801,Eighteen,51003007018
va.uscongress.11.1801,1801,Eleven,51003007011
va.uscongress.15.1801,1801,Fifteen,51003007015
va.uscongress.5.1801,1801,Five,51003007005
va.uscongress.4.1801,1801,Four,51003007004
va.uscongress.14.1801,1801,Fourteen,51003007014
va.uscongress.19.1801,1801,Nineteen,51003007019
va.uscongress.1.1801,1801,One,51003007001
va.uscongress.7.1801,1801,Seven,51003007007
va.uscongress.17.1801,1801,Seventeen,51003007017
va.uscongress.6.1801,1801,Six,51003007006
va.uscongress.16.1801,1801,Sixteen,51003007016
va.uscongress.10.1801,1801,Ten,51003007010
va.uscongress.13.1801,1801,Thirteen,51003007013
va.uscongress.3.1801,1801,Three,51003007003
va.uscongress.12.1801,1801,Twelve,51003007012
va.uscongress.2.1801,1801,Two,51003007002
va.uscongress.8.1803,1803,Eight,51008009008
va.uscongress.11.1803,1803,Eleven,51008009011
va.uscongress.15.1803,1803,Fifteen,51008009015
va.uscongress.4.1803,1803,Four,51008009004
va.uscongress.14.1803,1803,Fourteen,51008009014
va.uscongress.9.1803,1803,Nine,51008009009
va.uscongress.19.1803,1803,Nineteen,51008009019
va.uscongress.1.1803,1803,One,51008009001
va.uscongress.17.1803,1803,Seventeen,51008009017
va.uscongress.6.1803,1803,Six,51008009006
va.uscongress.16.1803,1803,Sixteen,51008009016
va.uscongress.10.1803,1803,Ten,51008009010
va.uscongress.13.1803,1803,Thirteen,51008009013
va.uscongress.12.1803,1803,Twelve,51008009012
va.uscongress.20.1803,1803,Twenty,51008009020
va.uscongress.21.1803,1803,Twenty One,51008009021
va.uscongress.22.1803,1803,Twenty Two,51008009022
va.uscongress.8.1805,1805,Eight,51008009008
va.uscongress.18.1805,1805,Eighteen,51008009018
va.uscongress.11.1805,1805,Eleven,51008009011
va.uscongress.15.1805,1805,Fifteen,51008009015
va.uscongress.5.1805,1805,Five,51008009005
va.uscongress.4.1805,1805,Four,51008009004
va.uscongress.14.1805,1805,Fourteen,51008009014
va.uscongress.9.1805,1805,Nine,51008009009
va.uscongress.19.1805,1805,Nineteen,51008009019
va.uscongress.17.1805,1805,Seventeen,51008009017
va.uscongress.6.1805,1805,Six,51008009006
va.uscongress.16.1805,1805,Sixteen,51008009016
va.uscongress.10.1805,1805,Ten,51008009010
va.uscongress.13.1805,1805,Thirteen,51008009013
