nnv_county,ahcb_county,notes
Adair,ADAIR,
Allen,ALLEN,
Barren,BARREN,
Bath,BATH,
Boone,BOONE,
Bourbon,BOURBON,
Bracken,BRACKEN,
Breckinridge,BRECKINRIDGE,
Bullitt,BULLITT,
Butler,BUTLER,
Caldwell,CALDWELL,
Calloway,CALLOWAY,
Campbell,CAMPBELL,
Casey,CASEY,
Christian,CHRISTIAN,
Clark,CLARK,
Clay,CLAY,
Cumberland,CUMBERLAND,
Daviess,DAVIESS,
Estill,ESTILL,
Fayette,FAYETTE,
Fleming,FLEMING,
Floyd,FLOYD,
Franklin,FRANKLIN,
Gallatin,GALLATIN,
Garrard,GARRARD,
Grant,GRANT,
Graves,GRAVES,
Grayson,GRAYSON,
Green,GREEN,
Greenup,GREENUP,
Hardin,HARDIN,
Harlan,HARLAN,
Harrison,HARRISON,
Hart,HART,
Henderson,HENDERSON,
Henry,HENRY,
Hickman,HICKMAN,
Hopkins,HOPKINS,
Jefferson,JEFFERSON,
Jessamine,JESSAMINE,
Knox,KNOX,
Lawrence,LAWRENCE,
Lewis,LEWIS,
Lincoln,LINCOLN,
Livingston,LIVINGSTON,
Logan,LOGAN,
Madison,MADISON,
Mason,MASON,
Meade,MEADE,
Mercer,MERCER,
Monroe,MONROE,
Montgomery,MONTGOMERY,
Morgan,MORGAN,
Muhlenberg,MUHLENBERG,
Breckenridge,BRECKINRIDGE,misspelling
Bullett,BULLITT,misspelling
Clarke,CLARK,misspelling
Daveiss,DAVIESS,misspelling
Gerrard,GARRARD,misspelling
Greene,GREEN,misspelling
McCracken,McCRACKEN,case issue
Muhlenburg,MUHLENBERG,misspelling
Muhlenburgh,MUHLENBERG,misspelling
Pendelton,PENDLETON,misspelling
Whitely,WHITLEY,misspelling
Nelson,NELSON,
Nicholas,NICHOLAS,
Ohio,OHIO,
Oldham,OLDHAM,
Owen,OWEN,
Pendleton,PENDLETON,
Perry,PERRY,
Pike,PIKE,
Pulaski,PULASKI,
Rockcastle,ROCKCASTLE,
Scott,SCOTT,
Shelby,SHELBY,
Simpson,SIMPSON,
Todd,TODD,
Trigg,TRIGG,
Union,UNION,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Whitley,WHITLEY,
Woodford,WOODFORD,
