congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url
"Ames, Fisher",Representative,Pro-Administration,MA,1758,1808,1,Fisher Ames,A000174,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000174
"Ashe, John Baptista",Representative,Anti-Administration,NC,1748,1802,1,John Baptista Ashe,A000307,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000307
"Baldwin, Abraham",Representative,Anti-Administration,GA,1754,1807,1,Abraham Baldwin,B000084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084
"Bassett, Richard",Senator,Anti-Administration,DE,1745,1815,1,Richard Bassett,B000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000226
"Benson, Egbert",Representative,Pro-Administration,NY,1746,1833,1,Egbert Benson,B000388,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000388
"Bland, Theodorick",Representative,Anti-Administration,VA,1742,1790,1,Theodorick Bland,B000546,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000546
"Bloodworth, Timothy",Representative,,NC,1736,1814,1,Timothy Bloodworth,B000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000563
"Boudinot, Elias",Representative,Pro-Administration,NJ,1740,1821,1,Elias Boudinot,B000661,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000661
"Bourne, Benjamin",Representative,Pro-Administration,RI,1755,1808,1,Benjamin Bourne,B000669,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669
"Brown, John",Representative,Anti-Administration,VA,1757,1837,1,John Brown,B000929,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929
"Burke, Aedanus",Representative,Anti-Administration,SC,1743,1802,1,Aedanus Burke,B001086,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001086
"Butler, Pierce",Senator,Pro-Administration,SC,1744,1822,1,Pierce Butler,B001186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001186
"Cadwalader, Lambert",Representative,Pro-Administration,NJ,1742,1823,1,Lambert Cadwalader,C000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000012
"Carroll, Charles (Of Carrollton)",Senator,Pro-Administration,MD,1737,1832,1,Charles (Of Carrollton) Carroll,C000185,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000185
"Carroll, Daniel",Representative,Pro-Administration,MD,1730,1796,1,Daniel Carroll,C000187,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000187
"Clymer, George",Representative,Pro-Administration,PA,1739,1813,1,George Clymer,C000538,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000538
"Coles, Isaac",Representative,Anti-Administration,VA,1747,1813,1,Isaac Coles,C000624,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000624
"Contee, Benjamin",Representative,Anti-Administration,MD,1755,1815,1,Benjamin Contee,C000710,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000710
"Dalton, Tristram",Senator,Pro-Administration,MA,1738,1817,1,Tristram Dalton,D000013,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000013
"Dickinson, Philemon",Senator,Pro-Administration,NJ,1739,1809,1,Philemon Dickinson,D000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000324
"Ellsworth, Oliver",Senator,Pro-Administration,CT,1745,1807,1,Oliver Ellsworth,E000147,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000147
"Elmer, Jonathan",Senator,Pro-Administration,NJ,1745,1817,1,Jonathan Elmer,E000155,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000155
"Few, William",Senator,Anti-Administration,GA,1748,1828,1,William Few,F000100,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000100
"Fitzsimons, Thomas",Representative,Pro-Administration,PA,1741,1811,1,Thomas Fitzsimons,F000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000178
"Floyd, William",Representative,Anti-Administration,NY,1734,1821,1,William Floyd,F000224,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000224
"Foster, Abiel",Representative,Pro-Administration,NH,1735,1806,1,Abiel Foster,F000297,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000297
"Foster, Theodore",Senator,Pro-Administration,RI,1752,1828,1,Theodore Foster,F000313,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000313
"Gale, George",Representative,Pro-Administration,MD,1756,1815,1,George Gale,G000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000012
"Gerry, Elbridge",Representative,Anti-Administration,MA,1744,1814,1,Elbridge Gerry,G000139,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000139
"Giles, William Branch",Representative,,VA,1762,1830,1,William Branch Giles,G000183,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000183
"Gilman, Nicholas",Representative,,NH,1755,1814,1,Nicholas Gilman,G000215,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000215
"Goodhue, Benjamin",Representative,Federalist,MA,1748,1814,1,Benjamin Goodhue,G000286,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000286
"Grayson, William",Senator,Anti-Administration,VA,1740,1790,1,William Grayson,G000403,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000403
