congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url
"Griffin, Samuel",Representative,Pro-Administration,VA,1746,1810,1,Samuel Griffin,G000466,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000466
"Grout, Jonathan",Representative,Anti-Administration,MA,1737,1807,1,Jonathan Grout,G000500,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000500
"Gunn, James",Senator,Anti-Administration,GA,1753,1801,1,James Gunn,G000526,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000526
"Hartley, Thomas",Representative,Pro-Administration,PA,1748,1800,1,Thomas Hartley,H000299,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000299
"Hathorn, John",Representative,Anti-Administration,NY,1749,1825,1,John Hathorn,H000348,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000348
"Hawkins, Benjamin",Senator,Pro-Administration,NC,1754,1816,1,Benjamin Hawkins,H000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000368
"Henry, John",Senator,Pro-Administration,MD,1750,1798,1,John Henry,H000508,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000508
"Hiester, Daniel",Representative,Anti-Administration,PA,1747,1804,1,Daniel Hiester,H000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000570
"Huger, Daniel",Representative,Pro-Administration,SC,1742,1799,1,Daniel Huger,H000916,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000916
"Huntington, Benjamin",Representative,Pro-Administration,CT,1736,1800,1,Benjamin Huntington,H000995,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000995
"Izard, Ralph",Senator,Pro-Administration,SC,1741/1742,1804,1,Ralph Izard,I000053,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000053
"Jackson, James",Representative,Republican,GA,1757,1806,1,James Jackson,J000017,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000017
"Johnson, William Samuel",Senator,Pro-Administration,CT,1727,1819,1,William Samuel Johnson,J000182,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000182
"Johnston, Samuel",Senator,Pro-Administration,NC,1733,1816,1,Samuel Johnston,J000198,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000198
"King, Rufus",Senator,Pro-Administration,NY,1755,1827,1,Rufus King,K000212,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000212
"Langdon, John",Senator,Pro-Administration,NH,1741,1819,1,John Langdon,L000067,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000067
"Laurance, John",Representative,,NY,1750,1810,1,John Laurance,L000120,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000120
"Lee, Richard Bland",Representative,Pro-Administration,VA,1761,1827,1,Richard Bland Lee,L000200,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000200
"Lee, Richard Henry",Senator,Anti-Administration,VA,1732,1794,1,Richard Henry Lee,L000201,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000201
"Leonard, George",Representative,Pro-Administration,MA,1729,1819,1,George Leonard,L000246,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000246
"Livermore, Samuel",Representative,Federalist,NH,1732,1803,1,Samuel Livermore,L000364,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000364
"Maclay, William",Senator,Anti-Administration,PA,1737,1804,1,William Maclay,M000031,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000031
"Madison, James, Jr.",Representative,Anti-Administration,VA,1751,1836,1,James Madison,M000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000043
"Mathews, George",Representative,Anti-Administration,GA,1739,1812,1,George Mathews,M000234,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000234
"Monroe, James",Senator,Anti-Administration,VA,1758,1831,1,James Monroe,M000858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000858
"Moore, Andrew",Representative,,VA,1752,1821,1,Andrew Moore,M000891,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000891
"Morris, Robert",Senator,Pro-Administration,PA,1734,1806,1,Robert Morris,M000985,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000985
"Muhlenberg, Frederick Augustus Conrad",Representative,Pro-administration,PA,,,1,Frederick Augustus Conrad Muhlenberg,M001063,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001063
"Muhlenberg, John Peter Gabriel",Representative,,PA,1746,1807,1,John Peter Gabriel Muhlenberg,M001066,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001066
"Page, John",Representative,Anti-Administration,VA,1743,1808,1,John Page,P000018,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000018
"Parker, Josiah",Representative,Anti-Administration,VA,1751,1810,1,Josiah Parker,P000065,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000065
"Partridge, George",Representative,Pro-Administration,MA,1740,1828,1,George Partridge,P000092,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000092
"Paterson, William",Senator,Pro-Administration,NJ,1745,1806,1,William Paterson,P000102,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000102
"Read, George",Senator,Pro-Administration,DE,1733,1798,1,George Read,R000091,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000091
"Schureman, James",Representative,Federalist,NJ,1756,1824,1,James Schureman,S000150,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000150
"Schuyler, Philip John",Senator,Pro-Administration,NY,1733,1804,1,Philip John Schuyler,S000154,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000154
"Scott, Thomas",Representative,Pro-Administration,PA,1739,1796,1,Thomas Scott,S000186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000186
"Sedgwick, Theodore",Representative,Federalist,MA,1746,1813,1,Theodore Sedgwick,S000222,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000222
"Seney, Joshua",Representative,Anti-Administration,MD,1756,1798,1,Joshua Seney,S000242,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000242
"Sevier, John",Representative,Pro-Administration,NC,1745,1815,1,John Sevier,S000257,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000257
"Sherman, Roger",Representative,,CT,1721,1793,1,Roger Sherman,S000349,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000349
"Silvester, Peter",Representative,Pro-Administration,NY,1734,1808,1,Peter Silvester,S000412,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000412
"Sinnickson, Thomas",Representative,Pro-Administration,NJ,1744,1817,1,Thomas Sinnickson,S000448,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000448
"Smith, William",Representative,Anti-Administration,MD,1728,1814,1,William Smith,S000624,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000624
"Smith, William Loughton",Representative,Pro-Administration,SC,1758,1812,1,William Loughton Smith,S000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000633
"Stanton, Joseph, Jr.",Senator,Anti-Administration,RI,1739,1807,1,Joseph Stanton,S000805,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000805
"Steele, John",Representative,Pro-Administration,NC,1764,1815,1,John Steele,S000832,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000832
"Stone, Michael Jenifer",Representative,Anti-Administration,MD,1747,1812,1,Michael Jenifer Stone,S000961,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000961
"Strong, Caleb",Senator,Pro-Administration,MA,1745,1819,1,Caleb Strong,S001009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001009
"Sturges, Jonathan",Representative,Pro-Administration,CT,1740,1819,1,Jonathan Sturges,S001047,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001047
"Sumter, Thomas",Representative,,SC,1734,1832,1,Thomas Sumter,S001073,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001073
"Thacher, George",Representative,Federalist,MA,1754,1824,1,George Thacher,T000141,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000141
"Trumbull, Jonathan, Jr.",Representative,,CT,1740,1809,1,Jonathan Trumbull,T000389,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000389
"Tucker, Thomas Tudor",Representative,,SC,1745,1828,1,Thomas Tudor Tucker,T000403,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000403
"Van Rensselaer, Jeremiah",Representative,,NY,1738,1810,1,Jeremiah Van Rensselaer,V000053,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000053
"Vining, John",Representative,,DE,1758,1802,1,John Vining,V000104,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000104
"Wadsworth, Jeremiah",Representative,,CT,1743,1804,1,Jeremiah Wadsworth,W000013,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000013
"Walker, John",Senator,Pro-Administration,VA,1744,1809,1,John Walker,W000059,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000059
"White, Alexander",Representative,,VA,1738,1804,1,Alexander White,W000352,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000352
"Williamson, Hugh",Representative,Federalist,NC,1735,1819,1,Hugh Williamson,W000551,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000551
"Wingate, Paine",Senator,Anti-Administration,NH,1739,1838,1,Paine Wingate,W000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000633
"Wynkoop, Henry",Representative,,PA,1737,1816,1,Henry Wynkoop,W000783,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000783
"Ames, Fisher",Representative,Pro-Administration,MA,1758,1808,2,Fisher Ames,A000174,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000174
"Ashe, John Baptista",Representative,Anti-Administration,NC,1748,1802,2,John Baptista Ashe,A000307,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000307
"Baldwin, Abraham",Representative,Anti-Administration,GA,1754,1807,2,Abraham Baldwin,B000084,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000084
"Barnwell, Robert",Representative,Pro-Administration,SC,1761,1814,2,Robert Barnwell,B000167,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000167
"Bassett, Richard",Senator,Anti-Administration,DE,1745,1815,2,Richard Bassett,B000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000226
"Benson, Egbert",Representative,Pro-Administration,NY,1746,1833,2,Egbert Benson,B000388,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000388
"Boudinot, Elias",Representative,Pro-Administration,NJ,1740,1821,2,Elias Boudinot,B000661,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000661
"Bourne, Benjamin",Representative,Pro-Administration,RI,1755,1808,2,Benjamin Bourne,B000669,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000669
"Bourne, Shearjashub",Representative,Pro-Administration,MA,1746,1806,2,Shearjashub Bourne,B000671,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000671
"Bradley, Stephen Row",Senator,Anti-Administration,VT,1754,1830,2,Stephen Row Bradley,B000745,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000745
"Brown, John",Representative,Anti-Administration,VA,1757,1837,2,John Brown,B000929,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929
"Brown, John",Senator,Anti-Administration,KY,,,2,John Brown,B000929,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929
"Burr, Aaron",Senator,Anti-Administration,NY,1756,1836,2,Aaron Burr,B001133,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001133
"Butler, Pierce",Senator,Anti-Administration,SC,1744,1822,2,Pierce Butler,B001186,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001186
"Cabot, George",Senator,Pro-Administration,MA,1752,1823,2,George Cabot,C000009,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000009
"Carroll, Charles (Of Carrollton)",Senator,Pro-Administration,MD,1737,1832,2,Charles (Of Carrollton) Carroll,C000185,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000185
"Clark, Abraham",Representative,Pro-Administration,NJ,1726,1794,2,Abraham Clark,C000418,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000418
"Dayton, Jonathan",Representative,Federalist,NJ,1760,1824,2,Jonathan Dayton,D000165,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000165
"Dickinson, Philemon",Senator,Pro-Administration,NJ,1739,1809,2,Philemon Dickinson,D000324,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000324
"Edwards, John",Senator,Anti-Administration,KY,1748,1837,2,John Edwards,E000075,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000075
"Ellsworth, Oliver",Senator,Pro-Administration,CT,1745,1807,2,Oliver Ellsworth,E000147,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000147
"Few, William",Senator,Anti-Administration,GA,1748,1828,2,William Few,F000100,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000100
"Findley, William",Representative,Anti-Administration,PA,1741/1742,1821,2,William Findley,F000124,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000124
"Fitzsimons, Thomas",Representative,Pro-Administration,PA,1741,1811,2,Thomas Fitzsimons,F000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000178
"Foster, Theodore",Senator,Pro-Administration,RI,1752,1828,2,Theodore Foster,F000313,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000313
"Gerry, Elbridge",Representative,Anti-Administration,MA,1744,1814,2,Elbridge Gerry,G000139,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000139
"Giles, William Branch",Representative,,VA,1762,1830,2,William Branch Giles,G000183,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000183
"Gilman, Nicholas",Representative,,NH,1755,1814,2,Nicholas Gilman,G000215,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000215
"Goodhue, Benjamin",Representative,Federalist,MA,1748,1814,2,Benjamin Goodhue,G000286,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000286
"Gordon, James",Representative,Pro-Administration,NY,1739,1810,2,James Gordon,G000311,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000311
"Greenup, Christopher",Representative,Anti-Administration,KY,1750,1818,2,Christopher Greenup,G000434,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000434
"Gregg, Andrew",Representative,,PA,1755,1835,2,Andrew Gregg,G000442,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000442
"Griffin, Samuel",Representative,Anti-Administration,VA,1746,1810,2,Samuel Griffin,G000466,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000466
"Grove, William Barry",Representative,Pro-Administration,NC,1764,1818,2,William Barry Grove,G000502,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000502
"Gunn, James",Senator,Anti-Administration,GA,1753,1801,2,James Gunn,G000526,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000526
"Hartley, Thomas",Representative,Pro-Administration,PA,1748,1800,2,Thomas Hartley,H000299,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000299
"Hawkins, Benjamin",Senator,Pro-Administration,NC,1754,1816,2,Benjamin Hawkins,H000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000368
"Henry, John",Senator,Pro-Administration,MD,1750,1798,2,John Henry,H000508,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000508
"Hiester, Daniel",Representative,Anti-Administration,PA,1747,1804,2,Daniel Hiester,H000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000570
"Hillhouse, James",Representative,,CT,1754,1832,2,James Hillhouse,H000618,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000618
"Hindman, William",Representative,Federalist,MD,1743,1822,2,William Hindman,H000629,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000629
"Huger, Daniel",Representative,Pro-Administration,SC,1742,1799,2,Daniel Huger,H000916,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000916
"Izard, Ralph",Senator,Pro-Administration,SC,1741/1742,1804,2,Ralph Izard,I000053,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000053
"Jacobs, Israel",Representative,Pro-Administration,PA,1726,1796,2,Israel Jacobs,J000036,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000036
"Johnson, William Samuel",Senator,Pro-Administration,CT,1727,1819,2,William Samuel Johnson,J000182,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000182
"Johnston, Samuel",Senator,Pro-Administration,NC,1733,1816,2,Samuel Johnston,J000198,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000198
"Key, Philip",Representative,Pro-Administration,MD,1750,1820,2,Philip Key,K000158,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000158
"King, Rufus",Senator,Pro-Administration,NY,1755,1827,2,Rufus King,K000212,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000212
"Kitchell, Aaron",Representative,,NJ,1744,1820,2,Aaron Kitchell,K000246,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000246
"Kittera, John Wilkes",Representative,Pro-Administration,PA,1752,1801,2,John Wilkes Kittera,K000253,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000253
"Langdon, John",Senator,Pro-Administration,NH,1741,1819,2,John Langdon,L000067,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000067
"Laurance, John",Representative,,NY,1750,1810,2,John Laurance,L000120,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000120
"Learned, Amasa",Representative,Pro-Administration,CT,1750,1825,2,Amasa Learned,L000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000178
"Lee, Richard Bland",Representative,Pro-Administration,VA,1761,1827,2,Richard Bland Lee,L000200,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000200
"Lee, Richard Henry",Senator,Anti-Administration,VA,1732,1794,2,Richard Henry Lee,L000201,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000201
"Leonard, George",Representative,Pro-Administration,MA,1729,1819,2,George Leonard,L000246,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000246
"Livermore, Samuel",Representative,Federalist,NH,1732,1803,2,Samuel Livermore,L000364,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000364
"Macon, Nathaniel",Representative,Democratic Republican,NC,1757,1837,2,Nathaniel Macon,M000034,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000034
"Madison, James, Jr.",Representative,Anti-Administration,VA,1751,1836,2,James Madison,M000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000043
"Mercer, John Francis",Representative,Anti-Administration,MD,1759,1821,2,John Francis Mercer,M000645,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000645
"Milledge, John",Representative,,GA,1757,1818,2,John Milledge,M000712,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000712
"Monroe, James",Senator,Anti-Administration,VA,1758,1831,2,James Monroe,M000858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000858
"Moore, Andrew",Representative,,VA,1752,1821,2,Andrew Moore,M000891,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000891
"Morris, Robert",Senator,Pro-Administration,PA,1734,1806,2,Robert Morris,M000985,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000985
"Muhlenberg, Frederick Augustus Conrad",Representative,Anti-administration,PA,1750,1801,2,Frederick Augustus Conrad Muhlenberg,M001063,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001063
"Murray, William Vans",Representative,Pro-Administration,MD,1760,1803,2,William Vans Murray,M001119,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001119
"Niles, Nathaniel",Representative,Anti-Administration,VT,1741,1828,2,Nathaniel Niles,N000109,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000109
"Orr, Alexander Dalrymple",Representative,Anti-Administration,KY,1761,1835,2,Alexander Dalrymple Orr,O000101,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000101
"Page, John",Representative,Anti-Administration,VA,1743,1808,2,John Page,P000018,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000018
"Parker, Josiah",Representative,Anti-Administration,VA,1751,1810,2,Josiah Parker,P000065,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000065
"Pinkney, William",Representative,Democratic Republican,MD,1764,1822,2,William Pinkney,P000362,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000362
"Potts, Richard",Senator,Pro-Administration,MD,1753,1808,2,Richard Potts,P000473,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000473
"Read, George",Senator,Pro-Administration,DE,1733,1798,2,George Read,R000091,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000091
"Robinson, Moses",Senator,Anti-Administration,VT,1741,1813,2,Moses Robinson,R000350,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000350
"Rutherfurd, John",Senator,Pro-Administration,NJ,1760,1840,2,John Rutherfurd,R000550,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000550
"Schoonmaker, Cornelius Corneliusen",Representative,Anti-Administration,NY,1745,1796,2,Cornelius Corneliusen Schoonmaker,S000140,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000140
"Sedgwick, Theodore",Representative,Federalist,MA,1746,1813,2,Theodore Sedgwick,S000222,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000222
"Seney, Joshua",Representative,Anti-Administration,MD,1756,1798,2,Joshua Seney,S000242,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000242
"Sheredine, Upton",Representative,Anti-Administration,MD,1740,1800,2,Upton Sheredine,S000340,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000340
"Sherman, Roger",Senator,Pro-Administration,CT,1721,1793,2,Roger Sherman,S000349,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000349
"Silvester, Peter",Representative,Pro-Administration,NY,1734,1808,2,Peter Silvester,S000412,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000412
"Smith, Israel",Representative,,VT,1759,1810,2,Israel Smith,S000557,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000557
"Smith, Jeremiah",Representative,Pro-Administration,NH,1759,1842,2,Jeremiah Smith,S000563,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000563
"Smith, William Loughton",Representative,Pro-Administration,SC,1758,1812,2,William Loughton Smith,S000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000633
