nnv_county,ahcb_county,notes
Albany,ALBANY,
Albany (East),ALBANY,
Albany (West),ALBANY,
E. Albany,ALBANY,
W. Albany,ALBANY,
Allegany,ALLEGANY,
Alleghany,ALLEGANY,misspelling
Broome,BROOME,
Cattaragus,CATTARAUGUS,misspelling
Cattaraugus,CATTARAUGUS,
Cayuga,CAYUGA,
Chatauque,CHAUTAUQUA,misspelling
Chautauque,CHAUTAUQUA,misspelling
Chenango,CHENANGO,
Clinton,CLINTON,
Columbia,COLUMBIA,
Cortland,CORTLAND,
Delaware,DELAWARE,
Duchess,DUTCHESS,misspelling
Dutchess,DUTCHESS,
Erie,ERIE,
Essex,ESSEX,
Franklin,FRANKLIN,
Genesee,GENESEE,misspelling
Genesse,GENESEE,
Greene,GREENE,
Herkimer,HERKIMER,
Jefferson,JEFFERSON,
Kings,KINGS,
Lewis,LEWIS,
Livingston,LIVINGSTON,
Madison,MADISON,
Monroe,MONROE,
Montgomery,MONTGOMERY,
New York,NEW YORK,
Niagara,NIAGARA,
Oneida,ONEIDA,
Onondaga,ONONDAGA,
Ontario,ONTARIO,
Orange,ORANGE,
Orange County,ORANGE,includes “county”
Oswego,OSWEGO,
Otsego,OTSEGO,
Putnam,PUTNAM,
Dutchess (Part),PUTNAM,Used for 1812 and 1816 congressional elections - AtlasHCB lists Duchess as renamed Putnam in 1812
Queens,QUEENS,
Rennselaer,RENSSELAER,misspelling
Rensselaer,RENSSELAER,
Richmond,RICHMOND,
Rockland,ROCKLAND,
Saratoga,SARATOGA,
Schenectady,SCHENECTADY,
Schoharie,SCHOHARIE,
Seneca,SENECA,
St. Lawrence,ST. LAWRENCE,
Steuben,STEUBEN,
Suffolk,SUFFOLK,
Sullivan,SULLIVAN,
Tioga,TIOGA,
Tompkins,TOMPKINS,
Ulster,ULSTER,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Westchester,WESTCHESTER,
Westchester (Lower),WESTCHESTER,
Westchester (Upper),WESTCHESTER,
Yates,YATES,
