county,name
Adams,ADAMS
Allegheny,ALLEGHENY
Armstrong,ARMSTRONG
Beaver,BEAVER
Bedford,BEDFORD
Berks,BERKS
Bradford,BRADFORD
Bucks,BUCKS
Butler,BUTLER
Cambria,CAMBRIA
Centre,CENTRE
Chester,CHESTER
Clearfield,CLEARFIELD
Columbia,COLUMBIA
Crawford,CRAWFORD
Cumberland,CUMBERLAND
Dauphin,DAUPHIN
Delaware,DELAWARE
Erie,ERIE
Fayette,FAYETTE
Franklin,FRANKLIN
Greene,GREENE
Huntingdon,HUNTINGDON
Indiana,INDIANA
Lancaster,LANCASTER
Luzerne,LUZERNE
Lycoming,LYCOMING
Mercer,MERCER
Mifflin,MIFFLIN
Montgomery,MONTGOMERY
Northampton,NORTHAMPTON
Northumberland,NORTHUMBERLAND
Perry,PERRY
Philadelphia,PHILADELPHIA
Pike,PIKE
Potter,POTTER
Somerset,SOMERSET
Susquehanna,SUSQUEHANNA
Tioga,TIOGA
Union,UNION
Venango,VENANGO
Washington,WASHINGTON
Wayne,WAYNE
Westmoreland,WESTMORELAND
York,YORK
