nnv_county,ahcb_county,notes
Acadia, Acadia County,
Iberville,Iberville County,
German Coast,German Coast County,missing word county
New Orleans,Orleans County,
Oppeloussa,Opelousas County,missing word county
Warren,WARREN (ext),extinct county
Orleans,Orleans County,
