congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,candidate_id
"Sturges, Jonathan",Representative,Pro-Administration,CT,1740,1819,1,Jonathan Sturges,S001047,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001047,SJ0011
"Trumbull, Jonathan, Jr.",Representative,NA,CT,1740,1809,1,Jonathan Trumbull,T000389,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000389,TJ0010
"Tucker, Thomas Tudor",Representative,NA,SC,1745,1828,1,Thomas Tudor Tucker,T000403,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000403,TT0007
"Wadsworth, Jeremiah",Representative,NA,CT,1743,1804,1,Jeremiah Wadsworth,W000013,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000013,WJ0011
"Wingate, Paine",Senator,Anti-Administration,NH,1739,1838,1,Paine Wingate,W000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000633,WP0051
"Barnwell, Robert",Representative,Pro-Administration,SC,1761,1814,2,Robert Barnwell,B000167,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000167,NA
"Bradley, Stephen Row",Senator,Anti-Administration,VT,1754,1830,2,Stephen Row Bradley,B000745,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000745,NA
"Edwards, John",Senator,Anti-Administration,KY,1748,1837,2,John Edwards,E000075,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000075,NA
"Greenup, Christopher",Representative,Anti-Administration,KY,1750,1818,2,Christopher Greenup,G000434,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000434,NA
"Grove, William Barry",Representative,Pro-Administration,NC,1764,1818,2,William Barry Grove,G000502,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000502,NA
"Hillhouse, James",Representative,NA,CT,1754,1832,2,James Hillhouse,H000618,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000618,NA
"Key, Philip",Representative,Pro-Administration,MD,1750,1820,2,Philip Key,K000158,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000158,NA
"Kittera, John Wilkes",Representative,Pro-Administration,PA,1752,1801,2,John Wilkes Kittera,K000253,http://bioguide.congress.gov/scripts/biodisplay.pl?index=K000253,NA
"Learned, Amasa",Representative,Pro-Administration,CT,1750,1825,2,Amasa Learned,L000178,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000178,NA
"Orr, Alexander Dalrymple",Representative,Anti-Administration,KY,1761,1835,2,Alexander Dalrymple Orr,O000101,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000101,NA
"Potts, Richard",Senator,Pro-Administration,MD,1753,1808,2,Richard Potts,P000473,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000473,NA
"Rutherfurd, John",Senator,Pro-Administration,NJ,1760,1840,2,John Rutherfurd,R000550,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000550,NA
"Schoonmaker, Cornelius Corneliusen",Representative,Anti-Administration,NY,1745,1796,2,Cornelius Corneliusen Schoonmaker,S000140,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000140,NA
"Venable, Abraham Bedford",Representative,NA,VA,1758,1811,2,Abraham Bedford Venable,V000083,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000083,NA
"Bradford, William",Senator,Pro-Administration,RI,1729,1808,3,William Bradford,B000739,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000739,NA
"Carnes, Thomas Petters",Representative,Anti-Administration,GA,1762,1822,3,Thomas Petters Carnes,C000163,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000163,NA
"Coit, Joshua",Representative,Pro-Administration,CT,1758,1798,3,Joshua Coit,C000600,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000600,NA
"Dawson, William Johnson",Representative,Anti-Administration,NC,NA,1798,3,William Johnson Dawson,D000157,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000157,NA
"Gillon, Alexander",Representative,Anti-Administration,SC,1741,1794,3,Alexander Gillon,G000211,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000211,NA
"Glen, Henry",Representative,Pro-Administration,NY,1739,1814,3,Henry Glen,G000235,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000235,NA
"Harrison, Carter Bassett",Representative,Anti-Administration,VA,c1756,1808,3,Carter Bassett Harrison,H000266,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000266,NA
"Holten, Samuel",Representative,Anti-Administration,MA,1738,1816,3,Samuel Holten,H000750,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000750,NA
"Latimer, Henry",Representative,Federalist,DE,1752,1819,3,Henry Latimer,L000115,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000115,NA
"Mason, Stevens Thomson",Senator,Democratic Republican,VA,1760,1803,3,Stevens Thomson Mason,M000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000226,NA
"Mcdowell, Joseph",Representative,Anti-Administration,NC,1758,1799,3,Joseph Mcdowell,M000424,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000424,NA
"Mitchell, Stephen Mix",Senator,Pro-Administration,CT,1743,1835,3,Stephen Mix Mitchell,M000828,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000828,NA
"Patten, John",Representative,Anti-Administration,DE,1746,1800,3,John Patten,P000108,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000108,NA
"Pickens, Andrew",Representative,Anti-Administration,SC,1739,1817,3,Andrew Pickens,P000320,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000320,NA
"Sherburne, John Samuel",Representative,Anti-Administration,NH,1757,1830,3,John Samuel Sherburne,S000339,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000339,NA
"Tazewell, Henry",Senator,Anti-Administration,VA,1753,1799,3,Henry Tazewell,T000107,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000107,NA
"Tracy, Uriah",Representative,Federalist,CT,1755,1807,3,Uriah Tracy,T000348,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000348,NA
"Van Alen, John Evert",Representative,Federalist,NY,1749,1807,3,John Evert Van Alen,V000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000012,NA
"Blount, William",Senator,Democratic Republican,TN,1749,1800,4,William Blount,B000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000570,NA
"Burges, Dempsey",Representative,Republican,NC,1751,1800,4,Dempsey Burges,B001081,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001081,NA
"Clopton, John",Representative,Republican,VA,1756,1816,4,John Clopton,C000531,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000531,NA
"Cocke, William",Senator,Democratic Republican,TN,1748,1828,4,William Cocke,C000572,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000572,NA
"Dana, Samuel Whittlesey",Representative,Federalist,CT,1760,1830,4,Samuel Whittlesey Dana,D000024,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000024,NA
"Davenport, James",Representative,Federalist,CT,1758,1797,4,James Davenport,D000073,http://bioguide.congress.gov/scripts/biodisplay.pl?index=D000073,NA
"Earle, Samuel",Representative,Republican,SC,1760,1833,4,Samuel Earle,E000010,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000010,NA
"Freeman, Nathaniel, Jr.",Representative,Federalist,MA,1766,1800,4,Nathaniel Freeman,F000365,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000365,NA
"Goodrich, Chauncey",Representative,Federalist,CT,1759,1815,4,Chauncey Goodrich,G000293,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000293,NA
"Griswold, Roger",Representative,Federalist,CT,1762,1812,4,Roger Griswold,G000488,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000488,NA
"Hampton, Wade",Representative,Republican,SC,1752,1835,4,Wade Hampton,H000140,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000140,NA
"Havens, Jonathan Nicoll",Representative,Republican,NY,1757,1799,4,Jonathan Nicoll Havens,H000359,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000359,NA
"Marshall, Humphrey",Senator,Federalist,KY,1760,1841,4,Humphrey Marshall,M000155,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000155,NA
"Paine, Elijah",Senator,Federalist,VT,1757,1842,4,Elijah Paine,P000026,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000026,NA
"Potter, Elisha Reynolds",Representative,Federalist,RI,1764,1835,4,Elisha Reynolds Potter,P000463,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000463,NA
"Read, Jacob",Senator,Federalist,SC,1752,1816,4,Jacob Read,R000092,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000092,NA
"Skinner, Thomson Joseph",Representative,Republican,MA,1752,1809,4,Thomson Joseph Skinner,S000471,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000471,NA
"Strudwick, William Francis",Representative,Federalist,NC,c1765,1812,4,William Francis Strudwick,S001029,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001029,NA
"Swanwick, John",Representative,Republican,PA,1760,1798,4,John Swanwick,S001095,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001095,NA
"Tattnall, Josiah",Senator,Democratic Republican,GA,1762,1803,4,Josiah Tattnall,T000052,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000052,NA
"Thomson, Mark",Representative,Federalist,NJ,1739,1803,4,Mark Thomson,T000232,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000232,NA
"Varnum, Joseph Bradley",Representative,Democratic Republican,MA,1750/1751,1821,4,Joseph Bradley Varnum,V000074,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000074,NA
"Anderson, Joseph Inslee",Senator,Democratic Republican,TN,1757,1837,5,Joseph Inslee Anderson,A000197,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000197,NA
"Baer, George, Jr.",Representative,Federalist,MD,1763,1834,5,George Baer,B000026,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000026,NA
"Bayard, James Asheton, Sr.",Representative,Federalist,DE,1767,1815,5,James Asheton Bayard,B000249,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000249,NA
"Brace, Jonathan",Representative,Federalist,CT,1754,1837,5,Jonathan Brace,B000731,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000731,NA
"Champlin, Christopher Grant",Representative,Federalist,RI,1768,1840,5,Christopher Grant Champlin,C000289,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000289,NA
"Claiborne, William Charles Cole",Representative,Democratic Republican,TN,1775,1817,5,William Charles Cole Claiborne,C000408,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000408,NA
"Edmond, William",Representative,Federalist,CT,1755,1838,5,William Edmond,E000052,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000052,NA
"Elmendorf, Lucas Conrad",Representative,Republican,NY,1758,1843,5,Lucas Conrad Elmendorf,E000153,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000153,NA
"Greene, Ray",Senator,Federalist,RI,1765,1849,5,Ray Greene,G000427,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000427,NA
"Hanna, John Andre",Representative,Republican,PA,1762,1805,5,John Andre Hanna,H000161,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000161,NA
"Hiester, Joseph",Representative,Republican,PA,1752,1832,5,Joseph Hiester,H000574,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000574,NA
"Hobart, John Sloss",Senator,Federalist,NY,1738,1805,5,John Sloss Hobart,H000661,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000661,NA
"Hosmer, Hezekiah Lord",Representative,Federalist,NY,1765,1814,5,Hezekiah Lord Hosmer,H000803,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000803,NA
"Imlay, James Henderson",Representative,Federalist,NJ,1764,1823,5,James Henderson Imlay,I000011,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000011,NA
"Lloyd, James",Senator,Federalist,MD,1756,1830,5,James Lloyd,L000377,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000377,NA
"Mcclenachan, Blair",Representative,Republican,PA,NA,1812,5,Blair Mcclenachan,M000336,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000336,NA
"Mcdowell, Joseph",Representative,Republican,NC,1756,1801,5,Joseph Mcdowell,M000423,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000423,NA
"Morris, Lewis Richard",Representative,Federalist,VT,1760,1825,5,Lewis Richard Morris,M000983,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000983,NA
"Otis, Harrison Gray",Representative,Federalist,MA,1765,1848,5,Harrison Gray Otis,O000127,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000127,NA
"Pinckney, Charles",Senator,Democratic Republican,SC,1757,1824,5,Charles Pinckney,P000354,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000354,NA
"Spaight, Richard Dobbs",Representative,Republican,NC,1758,1802,5,Richard Dobbs Spaight,S000693,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000693,NA
"Trigg, Abram",Representative,Republican,VA,1750,NA,5,Abram Trigg,T000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000368,NA
"Trigg, John Johns",Representative,Republican,VA,1748,1804,5,John Johns Trigg,T000370,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000370,NA
"Wells, William Hill",Senator,Federalist,DE,1769,1829,5,William Hill Wells,W000287,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000287,NA
"Armstrong, John, Jr.",Senator,Democratic Republican,NY,1758,1843,6,John Armstrong,A000282,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000282,NA
"Mattoon, Ebenezer",Representative,Federalist,MA,1755,1843,6,Ebenezer Mattoon,M000259,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000259,NA
"Morris, Gouverneur",Senator,Federalist,NY,1752,1816,6,Gouverneur Morris,M000976,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000976,NA
"Nicholas, Wilson Cary",Senator,Democratic Republican,VA,1761,1820,6,Wilson Cary Nicholas,N000086,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000086,NA
"Nicholson, Joseph Hopper",Representative,Republican,MD,1770,1817,6,Joseph Hopper Nicholson,N000100,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000100,NA
"White, Samuel",Senator,Federalist,DE,1770,1809,6,Samuel White,W000392,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000392,NA
"Breckinridge, John",Senator,Democratic Republican,KY,1760,1806,7,John Breckinridge,B000787,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000787,NA
"Clinton, De Witt",Senator,Democratic Republican,NY,1769,1828,7,De Witt Clinton,C000525,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000525,NA
"Colhoun, John Ewing",Senator,Democratic Republican,SC,1749,1802,7,John Ewing Colhoun,C000627,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000627,NA
"Cutler, Manasseh",Representative,Federalist,MA,1742,1823,7,Manasseh Cutler,C001026,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001026,NA
"Cutts, Richard",Representative,Republican,MA,1771,1845,7,Richard Cutts,C001033,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C001033,NA
"Ellery, Christopher",Senator,Democratic Republican,RI,1768,1840,7,Christopher Ellery,E000114,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000114,NA
"Logan, George",Senator,Democratic Republican,PA,1753,1821,7,George Logan,L000401,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000401,NA
"Lowndes, Thomas",Representative,Federalist,SC,1766,1843,7,Thomas Lowndes,L000482,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000482,NA
"Meriwether, David",Representative,Republican,GA,1755,1822,7,David Meriwether,M000649,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000649,NA
"Mitchill, Samuel Latham",Representative,Democratic Republican,NY,1764,1831,7,Samuel Latham Mitchill,M000831,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000831,NA
"Moore, Thomas",Representative,Republican,SC,1759,1822,7,Thomas Moore,M000919,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000919,NA
"Olcott, Simeon",Senator,Federalist,NH,1735,1815,7,Simeon Olcott,O000060,http://bioguide.congress.gov/scripts/biodisplay.pl?index=O000060,NA
"Stanly, John",Representative,Federalist,NC,1774,1834,7,John Stanly,S000800,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000800,NA
"Thompson, Philip Rootes",Representative,Republican,VA,1766,1837,7,Philip Rootes Thompson,T000213,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000213,NA
"Upham, George Baxter",Representative,Federalist,NH,1768,1848,7,George Baxter Upham,U000022,http://bioguide.congress.gov/scripts/biodisplay.pl?index=U000022,NA
"Van Ness, John Peter",Representative,Republican,NY,1769,1846,7,John Peter Van Ness,V000049,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000049,NA
"Van Rensselaer, Killian Killian",Representative,Federalist,NY,1763,1845,7,Killian Killian Van Rensselaer,V000054,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000054,NA
"Bedinger, George Michael",Representative,Republican,KY,1756,1843,8,George Michael Bedinger,B000301,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000301,NA
"Casey, Levi",Representative,Republican,SC,1752c,1807,8,Levi Casey,C000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000226,NA
"Clagett, Clifton",Representative,Federalist,NH,1762,1829,8,Clifton Clagett,C000399,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000399,NA
"Clark, Christopher Henderson",Representative,Republican,VA,1767,1828,8,Christopher Henderson Clark,C000424,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000424,NA
"Earle, John Baylis",Representative,Republican,SC,1766,1836,8,John Baylis Earle,E000008,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000008,NA
"Eppes, John Wayles",Representative,Democratic Republican,VA,1773,1823,8,John Wayles Eppes,E000197,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000197,NA
"Gaillard, John",Senator,Democratic Republican,SC,1765,1826,8,John Gaillard,G000005,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000005,NA
"Hoge, John",Representative,Republican,PA,1760,1824,8,John Hoge,H000695,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000695,NA
"Jackson, John George",Representative,Republican,VA,1777,1825,8,John George Jackson,J000021,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000021,NA
"Lewis, Joseph, Jr.",Representative,Federalist,VA,1772,1834,8,Joseph Lewis,L000290,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000290,NA
"Livingston, Henry Walter",Representative,Federalist,NY,1768,1810,8,Henry Walter Livingston,L000367,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000367,NA
"Lucas, John Baptiste Charles",Representative,Republican,PA,1758,1842,8,John Baptiste Charles Lucas,L000492,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000492,NA
"Mccord, Andrew",Representative,Republican,NY,1754c,1808,8,Andrew Mccord,M000359,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000359,NA
"Mccreery, William",Representative,Republican,MD,1750,1814,8,William Mccreery,M000387,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000387,NA
"Moore, Nicholas Ruxton",Representative,Republican,MD,1756,1816,8,Nicholas Ruxton Moore,M000909,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000909,NA
"Paterson, John",Representative,Republican,NY,1744,1808,8,John Paterson,P000101,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000101,NA
"Potter, Samuel John",Senator,Democratic Republican,RI,1753,1804,8,Samuel John Potter,P000468,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000468,NA
"Purviance, Samuel Dinsmore",Representative,Federalist,NC,1774,1806,8,Samuel Dinsmore Purviance,P000577,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000577,NA
"Rodney, Caesar Augustus",Representative,Democratic Republican,DE,1772,1824,8,Caesar Augustus Rodney,R000377,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000377,NA
"Verplanck, Daniel Crommelin",Representative,Republican,NY,1762,1834,8,Daniel Crommelin Verplanck,V000088,http://bioguide.congress.gov/scripts/biodisplay.pl?index=V000088,NA
"Adair, John",Senator,Democratic Republican,KY,1757,1840,9,John Adair,A000026,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000026,NA
"Alexander, Evan Shelby",Representative,Republican,NC,1767c,1809,9,Evan Shelby Alexander,A000092,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000092,NA
"Bibb, William Wyatt",Representative,Democratic Republican,GA,1781,1820,9,William Wyatt Bibb,B000434,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000434,NA
"Bidwell, Barnabas",Representative,Republican,MA,1763,1833,9,Barnabas Bidwell,B000446,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000446,NA
"Broom, James Madison",Representative,Federalist,DE,1776,1850,9,James Madison Broom,B000888,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000888,NA
"Burwell, William Armisted",Representative,Republican,VA,1780,1821,9,William Armisted Burwell,B001160,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001160,NA
"Fenner, James",Senator,Democratic Republican,RI,1771,1846,9,James Fenner,F000074,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000074,NA
"Garnett, James Mercer",Representative,Republican,VA,1770,1843,9,James Mercer Garnett,G000075,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000075,NA
"Green, Isaiah Lewis",Representative,Republican,MA,1761,1841,9,Isaiah Lewis Green,G000413,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000413,NA
"Lloyd, Edward",Representative,Democratic Republican,MD,1779,1834,9,Edward Lloyd,L000376,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000376,NA
"Marion, Robert",Representative,Republican,SC,1766,1811,9,Robert Marion,M000130,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000130,NA
