congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,candidate_id
"Ashe, John Baptista",Representative,Anti-Administration,NC,1748,1802,1,John Baptista Ashe,A000307,http://bioguide.congress.gov/scripts/biodisplay.pl?index=A000307,AJ0202
"Bassett, Richard",Senator,Anti-Administration,DE,1745,1815,1,Richard Bassett,B000226,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000226,BR0005
"Bland, Theodorick",Representative,Anti-Administration,VA,1742,1790,1,Theodorick Bland,B000546,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000546,BT0354
"Burke, Aedanus",Representative,Anti-Administration,SC,1743,1802,1,Aedanus Burke,B001086,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001086,BA0012
"Cadwalader, Lambert",Representative,Pro-Administration,NJ,1742,1823,1,Lambert Cadwalader,C000012,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000012,CL0010
"Carroll, Charles (Of Carrollton)",Senator,Pro-Administration,MD,1737,1832,1,Charles (Of Carrollton) Carroll,C000185,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000185,CC0012
"Coles, Isaac",Representative,Anti-Administration,VA,1747,1813,1,Isaac Coles,C000624,http://bioguide.congress.gov/scripts/biodisplay.pl?index=C000624,CI0035
"Ellsworth, Oliver",Senator,Pro-Administration,CT,1745,1807,1,Oliver Ellsworth,E000147,http://bioguide.congress.gov/scripts/biodisplay.pl?index=E000147,EO0001
"Foster, Theodore",Senator,Pro-Administration,RI,1752,1828,1,Theodore Foster,F000313,http://bioguide.congress.gov/scripts/biodisplay.pl?index=F000313,NA
"Giles, William Branch",Representative,NA,VA,1762,1830,1,William Branch Giles,G000183,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000183,GW0186
"Grayson, William",Senator,Anti-Administration,VA,1740,1790,1,William Grayson,G000403,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000403,GW0185
"Gunn, James",Senator,Anti-Administration,GA,1753,1801,1,James Gunn,G000526,http://bioguide.congress.gov/scripts/biodisplay.pl?index=G000526,GJ0032
"Hawkins, Benjamin",Senator,Pro-Administration,NC,1754,1816,1,Benjamin Hawkins,H000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000368,HB0124
"Henry, John",Senator,Pro-Administration,MD,1750,1798,1,John Henry,H000508,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000508,HJ0153
"Hiester, Daniel",Representative,Anti-Administration,PA,1747,1804,1,Daniel Hiester,H000570,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000570,HD0024
"Huger, Daniel",Representative,Pro-Administration,SC,1742,1799,1,Daniel Huger,H000916,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000916,HD0340
"Huntington, Benjamin",Representative,Pro-Administration,CT,1736,1800,1,Benjamin Huntington,H000995,http://bioguide.congress.gov/scripts/biodisplay.pl?index=H000995,HB0010
"Izard, Ralph",Senator,Pro-Administration,SC,1741/1742,1804,1,Ralph Izard,I000053,http://bioguide.congress.gov/scripts/biodisplay.pl?index=I000053,NA
"Johnson, William Samuel",Senator,Pro-Administration,CT,1727,1819,1,William Samuel Johnson,J000182,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000182,NA
"Johnston, Samuel",Senator,Pro-Administration,NC,1733,1816,1,Samuel Johnston,J000198,http://bioguide.congress.gov/scripts/biodisplay.pl?index=J000198,NA
"Laurance, John",Representative,NA,NY,1750,1810,1,John Laurance,L000120,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000120,LJ0218
"Lee, Richard Henry",Senator,Anti-Administration,VA,1732,1794,1,Richard Henry Lee,L000201,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000201,LR0089
"Madison, James, Jr.",Representative,Anti-Administration,VA,1751,1836,1,James Madison,M000043,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000043,MJ1401
"Muhlenberg, Frederick Augustus Conrad",Representative,Pro-administration,PA,NA,NA,1,Frederick Augustus Conrad Muhlenberg,M001063,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001063,MF0016
"Muhlenberg, John Peter Gabriel",Representative,NA,PA,1746,1807,1,John Peter Gabriel Muhlenberg,M001066,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001066,MP0089
"Paterson, William",Senator,Pro-Administration,NJ,1745,1806,1,William Paterson,P000102,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000102,PW0134
"Read, George",Senator,Pro-Administration,DE,1733,1798,1,George Read,R000091,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000091,RG0001
"Schuyler, Philip John",Senator, ,NY,1733,1804,1,Philip John Schuyler,S000154,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000154,SP0065
"Sherman, Roger",Representative,NA,CT,1721,1793,1,Roger Sherman,S000349,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000349,SR0003
"Silvester, Peter",Representative,Pro-Administration,NY,1734,1808,1,Peter Silvester,S000412,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000412,SP0060
"Smith, William Loughton",Representative,Pro-Administration,SC,1758,1812,1,William Loughton Smith,S000633,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000633,SW0299
"Stanton, Joseph, Jr.",Senator,Anti-Administration,RI,1739,1807,1,Joseph Stanton,S000805,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000805,SJ1468
