nnv_county,ahcb_county,notes
Anson,ANSON,
Ashe,ASHE,
Beaufort,BEAUFORT,
Bertie,BERTIE,
Bladen,BLADEN,
Brunswick,BRUNSWICK,
Buncombe,BUNCOMBE,
Burke,BURKE,
Cabarrus,CABARRUS,
Camden,CAMDEN,
Carteret,CARTERET,
Caswell,CASWELL,
Chatham,CHATHAM,
Chowan,CHOWAN,
Columbus,COLUMBUS,
Craven,CRAVEN,
Cumberland,CUMBERLAND,
Curritack,CURRITUCK,misspelling
Currituck,CURRITUCK,
Davidson,DAVIDSON,
Dobbs,DOBBS (ext),extinct county
Duplin,DUPLIN,
Edgecombe,EDGECOMBE,
Franklin,FRANKLIN,
Gates,GATES,
Glasgow,GLASGOW,
Granville,GRANVILLE,
Greene,GREENE,
Guilford,GUILFORD,
Halifax,HALIFAX,
Hawkins,HAWKINS,
Haywood,HAYWOOD,
Hertford,HERTFORD,
Hyde,HYDE,
Iredell,IREDELL,
Johnston,JOHNSTON,
Jones,JONES,
Lenoir,LENOIR,
Lincoln,LINCOLN,
Martin,MARTIN,
Mecklenburg,MECKLENBURG,
Montgomery,MONTGOMERY,
Moore,MOORE,
Nash,NASH,
New Hanover,NEW HANOVER,
Northampton,NORTHAMPTON,
Onslow,ONSLOW,
Orange,ORANGE,
Pasquotank,PASQUOTANK,
Perquimans,PERQUIMANS,
Person,PERSON,
Pitt,PITT,
Randolph,RANDOLPH,
Richmond,RICHMOND,
Robeson,ROBESON,
Rockingham,ROCKINGHAM,
Rowan,ROWAN,
Rutherford,RUTHERFORD,
Sampson,SAMPSON,
Stokes,STOKES,
Sullivan,SULLIVAN,
Sumner,SUMNER,
Surry,SURRY,
Tennessee,TENNESSEE (ext),extinct county
Tyrell,TYRRELL,misspelling
Tyrrell,TYRRELL,
Wake,WAKE,
Warren,WARREN,
Washington,WASHINGTON,
Wayne,WAYNE,
Wilkes,WILKES,
