file,congress,statename,id,district,startcong,endcong
districtShapes/districts003.dbf,3,Virginia,051003007011,11,3,7
districtShapes/districts003.dbf,3,Virginia,051003007012,12,3,7
districtShapes/districts003.dbf,3,Virginia,051003007013,13,3,7
districtShapes/districts003.dbf,3,Virginia,051003007014,14,3,7
districtShapes/districts003.dbf,3,Virginia,051003007015,15,3,7
districtShapes/districts003.dbf,3,Virginia,051003007016,16,3,7
districtShapes/districts003.dbf,3,Virginia,051003007017,17,3,7
districtShapes/districts003.dbf,3,Virginia,051003007018,18,3,7
districtShapes/districts003.dbf,3,Virginia,051003007019,19,3,7
districtShapes/districts003.dbf,3,Virginia,051003007001,1,3,7
districtShapes/districts003.dbf,3,Virginia,051003007002,2,3,7
districtShapes/districts003.dbf,3,Virginia,051003007003,3,3,7
districtShapes/districts003.dbf,3,Virginia,051003007004,4,3,7
districtShapes/districts003.dbf,3,Virginia,051003007005,5,3,7
districtShapes/districts003.dbf,3,Virginia,051003007006,6,3,7
districtShapes/districts003.dbf,3,Virginia,051003007007,7,3,7
districtShapes/districts003.dbf,3,Virginia,051003007008,8,3,7
districtShapes/districts003.dbf,3,Virginia,051003007009,9,3,7
districtShapes/districts004.dbf,4,Maryland,024003007003,3,3,7
districtShapes/districts004.dbf,4,Maryland,024003007004,4,3,7
districtShapes/districts004.dbf,4,Maryland,024003007005,5,3,7
districtShapes/districts004.dbf,4,Maryland,024003007006,6,3,7
districtShapes/districts004.dbf,4,Maryland,024003007007,7,3,7
districtShapes/districts004.dbf,4,Maryland,024003007008,8,3,7
districtShapes/districts004.dbf,4,New York,036003005010,10,3,5
districtShapes/districts004.dbf,4,Vermont,050002006001,1,2,6
districtShapes/districts004.dbf,4,Vermont,050002006002,2,2,6
districtShapes/districts004.dbf,4,Connecticut,009003007000,0,3,7
districtShapes/districts004.dbf,4,Georgia,0130030070-1,-1,3,7
districtShapes/districts004.dbf,4,Georgia,013003007000,0,3,7
districtShapes/districts004.dbf,4,Delaware,010001012000,0,1,12
districtShapes/districts004.dbf,4,Pennsylvania,042004006003,3,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006004,4,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006005,5,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006006,6,4,6
districtShapes/districts004.dbf,4,Pennsylvania,042004006007,7,4,6
