congbio_member_name,congbio_position,congbio_party,congbio_state,congbio_birth,congbio_death,congbio_congress,join_name,congbio_id,congbio_url,name_id
"Lambert, John",Representative,Democratic Republican,NJ,1746,1823,9,John Lambert,L000036,http://bioguide.congress.gov/scripts/biodisplay.pl?index=L000036,LJ0153
"Mead, Cowles",Representative,NA,GA,1776,1844,9,Cowles Mead,M000614,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000614,MC0004
"Mcfarlan, Duncan",Representative,Republican,NC,NA,1816,9,Duncan Mcfarlan,M000437,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000437,MD0119
"Mumford, Gurdon Saltonstall",Representative,Republican,NY,1764,1831,9,Gurdon Saltonstall Mumford,M001076,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001076,MG0050
"Moseley, Jonathan Ogden",Representative,Federalist,CT,1762,1838,9,Jonathan Ogden Moseley,M001023,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001023,MJ0022
"Masters, Josiah",Representative,Republican,NY,1763,1822,9,Josiah Masters,M000232,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000232,MJ0439
"Morrow, John",Representative,Republican,VA,NA,NA,9,John Morrow,M001005,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M001005,MJ1484
"Magruder, Patrick",Representative,Republican,MD,1768,1819,9,Patrick Magruder,M000057,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000057,MP0018
"Marion, Robert",Representative,Republican,SC,1766,1811,9,Robert Marion,M000130,http://bioguide.congress.gov/scripts/biodisplay.pl?index=M000130,MR0181
"Nelson, Jeremiah",Representative,Federalist,MA,1769,1838,9,Jeremiah Nelson,N000036,http://bioguide.congress.gov/scripts/biodisplay.pl?index=N000036,NJ0045
"Porter, John",Representative,Republican,PA,NA,NA,9,John Porter,P000443,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000443,PJ0433
"Pugh, John",Representative,Republican,PA,1761,1842,9,John Pugh,P000562,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000562,PJ0443
"Pitkin, Timothy",Representative,Federalist,CT,1766,1847,9,Timothy Pitkin,P000368,http://bioguide.congress.gov/scripts/biodisplay.pl?index=P000368,PT0001
"Quincy, Josiah",Representative,Federalist,MA,1772,1864,9,Josiah Quincy,Q000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=Q000015,QJ0002
"Russell, John",Representative,Republican,NY,1772,1842,9,John Russell,R000529,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000529,RJ0209
"Reed, Philip",Senator,Democratic Republican,MD,1760,1829,9,Philip Reed,R000125,http://bioguide.congress.gov/scripts/biodisplay.pl?index=R000125,RP0009
"Smelt, Dennis",Representative,Republican,GA,1750,NA,9,Dennis Smelt,S000507,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000507,SD0007
"Sturges, Lewis Burr",Representative,Federalist,CT,1763,1844,9,Lewis Burr Sturges,S001048,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S001048,SL0001
"Schuneman, Martin Gerretsen",Representative,Republican,NY,1764,1827,9,Martin Gerretsen Schuneman,S000149,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000149,SM0077
"Smith, O'brien",Representative,Republican,SC,1756,1811,9,O'brien Smith,S000598,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000598,SO0007
"Sailly, Peter",Representative,Republican,NY,1754,1826,9,Peter Sailly,S000015,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000015,SP0076
"Smith, Samuel",Representative,Republican,PA,NA,NA,9,Samuel Smith,S000610,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000610,SS0149
"Spalding, Thomas",Representative,Republican,GA,1774,1851,9,Thomas Spalding,S000698,http://bioguide.congress.gov/scripts/biodisplay.pl?index=S000698,ST0028
"Thruston, Buckner",Senator,Democratic Republican,KY,1763,1845,9,Buckner Thruston,T000249,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000249,TB0030
"Turner, James",Senator,Democratic Republican,NC,1766,1824,9,James Turner,T000423,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000423,TJ0367
"Thompson, Thomas Weston",Representative,Federalist,NH,1766,1821,9,Thomas Weston Thompson,T000220,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000220,TT0048
"Tracy, Uri",Representative,Republican,NY,1764,1838,9,Uri Tracy,T000347,http://bioguide.congress.gov/scripts/biodisplay.pl?index=T000347,TU0009
"Williams, David Rogerson",Representative,Republican,SC,1776,1830,9,David Rogerson Williams,W000495,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000495,WD0118
"Wickes, Eliphalet",Representative,Republican,NY,1769,1850,9,Eliphalet Wickes,W000440,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000440,WE0088
"Williams, Nathan",Representative,Republican,NY,1773,1835,9,Nathan Williams,W000531,http://bioguide.congress.gov/scripts/biodisplay.pl?index=W000531,WN0088
