id,town,county,state,ccd_id,lat,lon,me_town_id
va.commoncouncil.richmondcity.monroe.1814,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1803,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.22.1803,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.12.1803,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.congress.3.1825,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
va.congress.9.1825,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.congress.6.1825,Danville,Pittsylvania,Virginia,6969,36.5833337,-79.4080707,ME-VA0002
va.congress.8.1825,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.convention.1825,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.convention.1825,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1825,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.4.3.1825,Danville,Pittsylvania,Virginia,6969,36.5833337,-79.4080707,ME-VA0002
va.uscongress.22.1809,Richmond City,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.houseofdelegates.richmondcity.1809,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.uscongress.12.1809,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.statesenate.1.4.1810,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.1810,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.houseofdelegates.richmondcity.1810,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.statesenate.1.3.1814,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
va.commoncouncil.alexandria.4.1814,Alexandria,NA,Virginia,6942,38.8183429,-77.0820263,ME-VA0001
va.statesenate.1.4.1814,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
va.commoncouncil.alexandria.1.1814,Alexandria,NA,Virginia,6942,38.8183429,-77.0820263,ME-VA0001
va.commoncouncil.alexandria.2.1814,Alexandria,NA,Virginia,6942,38.8183429,-77.0820263,ME-VA0001
va.commoncouncil.alexandria.3.1814,Alexandria,NA,Virginia,6942,38.8183429,-77.0820263,ME-VA0001
va.uscongress.22.1811,Richmond City,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
