town,state,lat,lon,id,administrative_area_level_3,administrative_area_level_2
Plattsburg,New York,44.6934498,-73.4559524,4797,NA,NA
Plattsburgh,New York,44.6934498,-73.4559524,4797,NA,NA
Potsdam,New York,44.6692407,-74.9858951,4805,NA,NA
Poughkeepsie,New York,41.6945945,-73.9198692,4806,NA,NA
Prattsburg,New York,44.6934498,-73.4559524,4797,NA,NA
Rhinebeck,New York,41.9288029,-73.9102876,4809,NA,NA
Rhynebeck,New York,41.9288029,-73.9102876,4809,NA,NA
Rochester,New York,43.1699272,-77.6168907,4810,NA,NA
Rome,New York,43.2272326,-75.4917117,4812,NA,NA
Rye,New York,40.983177,-73.684473,4815,NA,NA
Scaresdale,New York,40.992048,-73.7806289,4822,NA,NA
Scarsdale,New York,40.992048,-73.7806289,4822,NA,NA
Schenactady,New York,42.8018398,-73.927295,4823,NA,NA
Schenctady,New York,42.8018398,-73.927295,4823,NA,NA
Schenectady,New York,42.8018398,-73.927295,4823,NA,NA
Sidney,New York,42.3029483,-75.4033098,4828,NA,NA
Southampton,New York,40.8765421,-72.3999944,4838,NA,NA
Troy,New York,42.7358118,-73.6753209,4849,NA,NA
Union,New York,42.114722,-76.021667,4852,NA,NA
Victory,New York,42.9820188,-77.4098214,4855,NA,NA
Walton,New York,42.1698107,-75.130478,4858,NA,NA
Warsaw,New York,42.7429111,-78.1412927,4860,NA,NA
Warwick,New York,41.2552441,-74.3547216,4861,NA,NA
Watertown,New York,43.9732923,-75.9100391,4864,NA,NA
Wesfield,New York,42.3218707,-79.5747545,4872,NA,NA
Westfield,New York,42.3218707,-79.5747545,4872,NA,NA
White Hall,New York,43.5601578,-73.4165938,4874,NA,NA
White Plains,New York,41.0253362,-73.7521369,4873,NA,NA
Whitehall,New York,43.5601578,-73.4165938,4874,NA,NA
Whiteplains,New York,41.0253362,-73.7521369,4873,NA,NA
Wilton,New York,43.2899412,-77.7925951,4690,NA,NA
Wilton,New York,42.1698107,-75.130478,4858,NA,NA
Yonkers,New York,40.9458622,-73.8674464,4881,NA,NA
Adams,New York,43.8092321,-76.0240892,NA,Adams,Jefferson County
Addison,New York,42.1028514,-77.2335879,NA,Addison,Steuben County
Amenia,New York,41.8492599,-73.5567918,NA,Amenia,Dutchess County
Angelica,New York,42.3067345,-78.0158388,NA,Angelica,Allegany County
Antwerp,New York,44.1992272,-75.6068791,NA,Antwerp,Jefferson County
Arguyle,New York,43.2378519,-73.4915018,NA,Argyle,Washington County
Argyle,New York,43.2378519,-73.4915018,NA,Argyle,Washington County
Armenia,New York,41.7457578,-76.860565,NA,Armenia Township,Bradford County
Arminia,New York,41.7457578,-76.860565,NA,Armenia Township,Bradford County
Athens,New York,42.2603648,-73.8095707,NA,Athens,Greene County
Augusta,New York,42.9747916,-75.5012871,NA,Augusta,Oneida County
Aurelius,New York,42.9188489,-76.7105632,NA,Aurelius,Cayuga County
Aureluis,New York,42.9188489,-76.7105632,NA,Aurelius,Cayuga County
