nnv_town,county,issue,
dover,Winham,lat/lon not correct,
Guildhall,Orange,record is for Guilford,possibly a .tsv problem and not .xml
Hungerford,Chittenden,lat/lon not correct,
Minehead,,lat/lon not correct,name change: Bloomfield
Philadelphia,Rutland,lat/lon not correct,between Chittenden and Goshen
Salem,,lat/lon not correct,between Derby and Newport
Smithfield,Chittenden,lat/lon not correct,annexed to Bakersfield and Fairfield
Stockbridge,,lat/lon not correct,move east a little
