town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Scarboro,Maine,"Scarboro, Maine",43.5901974,-70.33449209999999,Scarborough Town,Cumberland County,Maine,TRUE
Searsmont,Maine,"Searsmont, Maine",44.3617419,-69.1950411,NA,Waldo County,Maine,TRUE
Sebec,Maine,"Sebec, Maine",45.27144080000001,-69.1167087,NA,Piscataquis County,Maine,TRUE
Sedgwick,Maine,"Sedgwick, Maine",44.3040651,-68.6155184,NA,Hancock County,Maine,TRUE
Shapleigh,Maine,"Shapleigh, Maine",43.5406359,-70.8481164,NA,York County,Maine,TRUE
Shepardsfield,Maine,"Shepardsfield, Maine",44.16672699999999,-70.4502076,Oxford,Oxford County,Maine,TRUE
Shepardston,Maine,"Shepardston, Maine",44.1679222771056,-70.44776916503906,NA,Hancock County,Maine,TRUE
Sidney,Maine,"Sidney, Maine",44.4530868,-69.72262479999999,NA,Kennebec County,Maine,TRUE
Solon,Maine,"Solon, Maine",44.949502,-69.85839100000001,NA,Somerset County,Maine,TRUE
South Berwick,Maine,"South Berwick, Maine",43.2345292,-70.80950179999999,NA,York County,Maine,TRUE
Standish,Maine,"Standish, Maine",43.7355927,-70.5509356,NA,Cumberland County,Maine,TRUE
Stark,Maine,"Stark, Maine",44.73697895420882,-69.93896484375,NA,Coos County,New Hampshire,TRUE
Starks,Maine,"Starks, Maine",44.7306156,-69.9661708,NA,Somerset County,Maine,TRUE
Steuben,Maine,"Steuben, Maine",44.5107169,-67.9652562,NA,Washington County,Maine,TRUE
Stillwater,Maine,"Stillwater, Maine",44.9084022,-68.6864219,NA,Penobscot County,Maine,TRUE
Strong,Maine,"Strong, Maine",44.8075572,-70.2208981,NA,Franklin County,Maine,TRUE
Stroudwater,Maine,"Stroudwater, Maine",43.657579971859576,-70.3129506111145,NA,Cumberland County,Maine,TRUE
Sullivan,Maine,"Sullivan, Maine",44.5265074,-68.1518287,NA,Hancock County,Maine,TRUE
Sumner,Maine,"Sumner, Maine",44.3920113,-70.43839439999999,NA,Oxford County,Maine,TRUE
Surry,Maine,"Surry, Maine",44.4959099,-68.5016874,NA,Hancock County,Maine,TRUE
Swanville,Maine,"Swanville, Maine",44.5211855,-68.9978129,NA,Waldo County,Maine,TRUE
Sweden,Maine,"Sweden, Maine",44.163735611804384,-70.81838607788086,NA,Oxford County,Maine,TRUE
Temple,Maine,"Temple, Maine",44.6850592,-70.2264519,NA,Franklin County,Maine,TRUE
Thomaston,Maine,"Thomaston, Maine",44.0789574,-69.1816955,NA,Knox County,Maine,TRUE
Thomastown,Maine,"Thomastown, Maine",44.0789574,-69.1816955,NA,Knox County,Maine,TRUE
Thompsonboro,Maine,"Thompsonboro, Maine",44.03034596066819,-70.088653564453125,NA,NA,Maine,TRUE
Thorndike,Maine,"Thorndike, Maine",44.6029084,-69.236966,NA,Waldo County,Maine,TRUE
Topsham,Maine,"Topsham, Maine",43.9275435,-69.9759459,Topsham,Sagadahoc County,Maine,TRUE
Trenton,Maine,"Trenton, Maine",44.46123053905879,-68.38920593261719,NA,Hancock County,Maine,TRUE
Turner,Maine,"Turner, Maine",44.2564588,-70.2561671,NA,Androscoggin County,Maine,TRUE
Union,Maine,"Union, Maine",44.2296917,-69.293927,NA,Knox County,Maine,TRUE
Unity,Maine,"Unity, Maine",44.6111643,-69.3345032,Unity,Waldo County,Maine,TRUE
Vassalboro,Maine,"Vassalboro, Maine",44.45888069999999,-69.67776049999999,NA,Kennebec County,Maine,TRUE
Vassalborough,Maine,"Vassalborough, Maine",44.45888069999999,-69.67776049999999,NA,Kennebec County,Maine,TRUE
Vienna,Maine,"Vienna, Maine",44.5333976,-69.9847779,NA,Kennebec County,Maine,TRUE
Vinabhaven,Maine,"Vinabhaven, Maine",44.04873449999999,-68.836749,NA,Knox County,Maine,TRUE
Vinalhaven,Maine,"Vinalhaven, Maine",44.04873449999999,-68.836749,NA,Knox County,Maine,TRUE
Waldoboro,Maine,"Waldoboro, Maine",44.0952725,-69.37560169999999,Waldoboro,Lincoln County,Maine,TRUE
Waldoborough,Maine,"Waldoborough, Maine",44.0952725,-69.37560169999999,Waldoboro,Lincoln County,Maine,TRUE
Waldsborough,Maine,"Waldsborough, Maine",44.09350315285847,-69.37591552734374,NA,NA,Maine,TRUE
Wales,Maine,"Wales, Maine",44.1523636,-70.0608896,NA,Androscoggin County,Maine,TRUE
Warren,Maine,"Warren, Maine",44.116967,-69.25314639999999,NA,Knox County,Maine,TRUE
Washington,Maine,"Washington, Maine",44.2735583,-69.3676576,NA,Knox County,Maine,TRUE
Waterboro,Maine,"Waterboro, Maine",43.5354332,-70.7145912,NA,York County,Maine,TRUE
Waterborough,Maine,"Waterborough, Maine",43.5354332,-70.7145912,NA,York County,Maine,TRUE
Waterford,Maine,"Waterford, Maine",44.1932639,-70.7091738,NA,Oxford County,Maine,TRUE
Wayne,Maine,"Wayne, Maine",44.3486793,-70.06616489999999,NA,Kennebec County,Maine,TRUE
Weld,Maine,"Weld, Maine",44.6986707,-70.4214542,NA,Franklin County,Maine,TRUE
Wells,Maine,"Wells, Maine",43.3222329,-70.5805209,NA,York County,Maine,TRUE
Wescasset,Maine,"Wescasset, Maine",44.0028921,-69.665583,NA,Lincoln County,Maine,TRUE
Whitefield,Maine,"Whitefield, Maine",44.203373876159134,-69.608001708984375,NA,Lincoln County,Maine,TRUE
Wild,Maine,"Wild, Maine",34.9047269,-85.48084229999999,NA,Dade County,Georgia,NA
Wilton,Maine,"Wilton, Maine",44.5926953,-70.2280983,NA,Franklin County,Maine,TRUE
Winslow,Maine,"Winslow, Maine",44.5459679,-69.6203137,NA,Kennebec County,Maine,TRUE
Winthrop,Maine,"Winthrop, Maine",44.3050332,-69.9769721,Winthrop,Kennebec County,Maine,TRUE
Wiscasset,Maine,"Wiscasset, Maine",44.0028921,-69.665583,NA,Lincoln County,Maine,TRUE
Woodstock,Maine,"Woodstock, Maine",44.4010489,-70.5994659,NA,Oxford County,Maine,TRUE
Woolwich,Maine,"Woolwich, Maine",43.9187038,-69.8009529,NA,Sagadahoc County,Maine,TRUE
