standardized_town,town,county,state,id,lat,lon,me_town_id
Barrington,Barrington,Bristol,Rhode Island,5988,41.745201,-71.318193,ME-RI0001
Bristol,Bristol,Bristol,Rhode Island,5989,41.6842,-71.268669,ME-RI0002
Bristol,Bristol,NA,Rhode Island,5989,41.6842,-71.268669,ME-RI0002
Burrillville,Burrillville,Providence,Rhode Island,5990,41.970467,-71.685448,ME-RI0003
Charlestown,Charlestown,Washington,Rhode Island,NA,41.3832162,-71.6418744,ME-RI0004
Coventry,Coventry,Kent,Rhode Island,8468,41.70166,-71.59208,ME-RI0005
Cranston,Cranston,Providence,Rhode Island,5992,41.7697341,-71.4850489,ME-RI0006
Cumberland,Cumberland,Providence,Rhode Island,5993,41.970798,-71.459718,ME-RI0007
East Greenwich,East Greenwich,Kent,Rhode Island,5994,41.646685,-71.477652,ME-RI0008
Exeter,Exeter,Washington,Rhode Island,NA,41.5750676,-71.5351476,ME-RI0009
Foster,Foster,Providence,Rhode Island,NA,41.78872095,-71.71669006,ME-RI0010
Glocester,Glocester,Providence,Rhode Island,NA,41.9043113,-71.691066,ME-RI0011
Glocester,Gloucester,Providence,Rhode Island,NA,41.9043113,-71.691066,ME-RI0011
Hopkinton,Hopkinton,Washington,Rhode Island,NA,41.4612719,-71.7775501,ME-RI0012
Hopkinton,Hopkington,Washington,Rhode Island,NA,41.4612719,-71.7775501,ME-RI0012
Hopkinton,Hopkinton,NA,Rhode Island,NA,41.4612719,-71.7775501,ME-RI0012
Jamestown,Jamestown,Newport,Rhode Island,NA,41.4963134,-71.3711656,ME-RI0013
Jamestown,Jamestown,NA,Rhode Island,NA,41.4963134,-71.3711656,ME-RI0013
Johnston,Johnston,Providence,Rhode Island,5997,41.826667,-71.494722,ME-RI0014
Little Compton,Little Compton,Newport,Rhode Island,NA,41.5101032,-71.1711563,ME-RI0015
Middletown,Middletown,Newport,Rhode Island,8469,41.51607,-71.29991,ME-RI0016
New Shoreham,New Shoreham,Newport,Rhode Island,NA,41.172137,-71.5576045,ME-RI0017
Newport,Newport,Newport,Rhode Island,5999,41.4763348,-71.3216354,ME-RI0018
Newport,Newport,NA,Rhode Island,5999,41.4763348,-71.3216354,ME-RI0018
North Kingstown,North Kingstown,Washington,Rhode Island,8470,41.58686,-71.45837,ME-RI0019
North Kingstown,North Kingston,Washington,Rhode Island,8470,41.58686,-71.45837,ME-RI0019
North Providence,North Providence,Providence,Rhode Island,6000,41.859982,-71.456312,ME-RI0020
Portsmouth,Portsmouth,Newport,Rhode Island,NA,41.6023245,-71.2503257,ME-RI0021
Portsmouth,Portsmouth,NA,Rhode Island,NA,41.6023245,-71.2503257,ME-RI0021
Providence,Providence,Providence,Rhode Island,6002,41.8230556,-71.4187795,ME-RI0022
Providence,Providence,NA,Rhode Island,6002,41.8230556,-71.4187795,ME-RI0022
Richmond,Richmond,Washington,Rhode Island,NA,41.4944764,-71.6708363,ME-RI0023
Scituate,Scituate,Providence,Rhode Island,NA,41.7964495,-71.6198686,ME-RI0024
Smithfield,Smithfield,Providence,Rhode Island,8471,41.89279,-71.51767,ME-RI0025
South Kingstown,South Kingstown,Washington,Rhode Island,8472,41.44221,-71.5023,ME-RI0026
South Kingstown,South Kingstown,NA,Rhode Island,8472,41.44221,-71.5023,ME-RI0026
Tiverton,Tiverton,Newport,Rhode Island,NA,41.6259211,-71.2134231,ME-RI0027
Warren,Warren,Bristol,Rhode Island,6003,41.731108,-71.282694,ME-RI0028
Warren,Warren,NA,Rhode Island,6003,41.731108,-71.282694,ME-RI0028
Warwick,Warwick,Kent,Rhode Island,6004,41.7007569,-71.4203343,ME-RI0029
West Greenwich,West Greenwich,Kent,Rhode Island,NA,41.6285498,-71.6638132,ME-RI0030
Westerly,Westerly,Washington,Rhode Island,6006,41.374807,-71.81873,ME-RI0031
