town,corrected_town,state
Barrington,Barrington,Rhode Island
Bristol,Bristol,Rhode Island
Burrillville,Burrillville,Rhode Island
Charlestown,Charlestown,Rhode Island
Coventry,Coventry,Rhode Island
Cranston,Cranston,Rhode Island
Cumberland,Cumberland,Rhode Island
East Greenwich,East Greenwich,Rhode Island
Exeter,Exeter,Rhode Island
Foster,Foster,Rhode Island
Glocester,Glocester,Rhode Island
Gloucester,Glocester,Rhode Island
Hopkington,Hopkinton,Rhode Island
Hopkinton,Hopkinton,Rhode Island
Jamestown,Jamestown,Rhode Island
Johnston,Johnston,Rhode Island
Little Compton,Little Compton,Rhode Island
Middletown,Middletown,Rhode Island
New Shoreham,New Shoreham,Rhode Island
Newport,Newport,Rhode Island
North Kingston,North Kingstown,Rhode Island
North Kingstown,North Kingstown,Rhode Island
North Providence,North Providence,Rhode Island
Portsmouth,Portsmouth,Rhode Island
Providence,Providence,Rhode Island
Richmond,Richmond,Rhode Island
Scituate,Scituate,Rhode Island
Smithfield,Smithfield,Rhode Island
South Kingstown,South Kingstown,Rhode Island
Tiverton,Tiverton,Rhode Island
Warren,Warren,Rhode Island
Warwick,Warwick,Rhode Island
West Greenwich,West Greenwich,Rhode Island
Westerly,Westerly,Rhode Island
