town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Acton,Massachusetts,"Acton, Massachusetts",42.4850931,-71.43284,NA,Middlesex County,Massachusetts,TRUE
Alford,Massachusetts,"Alford, Massachusetts",42.2356442,-73.4134456,NA,Berkshire County,Massachusetts,TRUE
Arundel,Massachusetts,"Arundel, Massachusetts",43.44220098356312,-70.53325653076172,NA,Middlesex County,Massachusetts,TRUE
Ashburnham,Massachusetts,"Ashburnham, Massachusetts",42.635545,-71.90973939999999,NA,Worcester County,Massachusetts,TRUE
Ashby,Massachusetts,"Ashby, Massachusetts",42.6772767,-71.81871389999999,NA,Middlesex County,Massachusetts,TRUE
Ashfield,Massachusetts,"Ashfield, Massachusetts",42.5264745,-72.788426,NA,Franklin County,Massachusetts,TRUE
Attleborough,Massachusetts,"Attleborough, Massachusetts",41.946276908348295,-71.29569053649901,NA,Bristol County,Massachusetts,TRUE
Bangor,Massachusetts,"Bangor, Massachusetts",44.835421613637564,-68.81011962890625,NA,Penobscot County,Maine,TRUE
Barnardston,Massachusetts,"Barnardston, Massachusetts",42.6710048,-72.5483277,NA,Franklin County,Massachusetts,TRUE
Barre,Massachusetts,"Barre, Massachusetts",42.4229047,-72.10510020000001,Barre Town,Worcester County,Massachusetts,TRUE
Becket,Massachusetts,"Becket, Massachusetts",42.3319904,-73.0829366,NA,Berkshire County,Massachusetts,TRUE
Belchertown,Massachusetts,"Belchertown, Massachusetts",42.2770346,-72.4008884,Belchertown,Hampshire County,Massachusetts,TRUE
Belfast,Massachusetts,"Belfast, Massachusetts",42.54648,-71.00822,NA,Essex County,Massachusetts,NA
Bellingham,Massachusetts,"Bellingham, Massachusetts",42.0867608,-71.47458809999999,Bellingham Town,Norfolk County,Massachusetts,TRUE
Berkeley,Massachusetts,"Berkeley, Massachusetts",41.8459347,-71.08282220000001,NA,Bristol County,Massachusetts,TRUE
Berkley,Massachusetts,"Berkley, Massachusetts",41.8459347,-71.08282220000001,NA,Bristol County,Massachusetts,TRUE
Berlin,Massachusetts,"Berlin, Massachusetts",42.3812039,-71.63701209999999,NA,Worcester County,Massachusetts,TRUE
Bernardston,Massachusetts,"Bernardston, Massachusetts",42.6710048,-72.5483277,NA,Franklin County,Massachusetts,TRUE
Bethlehem,Massachusetts,"Bethlehem, Massachusetts",42.19571442448069,-73.08483123779297,East Greenbush,Rensselaer County,New York,TRUE
Billingham,Massachusetts,"Billingham, Massachusetts",42.0867608,-71.47458809999999,Bellingham Town,Norfolk County,Massachusetts,TRUE
Blandford,Massachusetts,"Blandford, Massachusetts",42.1806463,-72.9273224,NA,Hampden County,Massachusetts,TRUE
Blanford,Massachusetts,"Blanford, Massachusetts",42.1806463,-72.9273224,NA,Hampden County,Massachusetts,TRUE
Boxborough,Massachusetts,"Boxborough, Massachusetts",42.4834197,-71.5167139,NA,Middlesex County,Massachusetts,TRUE
Boxford,Massachusetts,"Boxford, Massachusetts",42.6611604,-70.996726,Boxford,Essex County,Massachusetts,TRUE
Boylston,Massachusetts,"Boylston, Massachusetts",42.3889953,-71.69081419999999,NA,Worcester County,Massachusetts,TRUE
Bradford,Massachusetts,"Bradford, Massachusetts",42.7695348,-71.0758905,NA,Essex County,Massachusetts,TRUE
Brewer,Massachusetts,"Brewer, Massachusetts",42.3348549,-71.6612731,Northborough,Worcester County,Massachusetts,NA
Brewster,Massachusetts,"Brewster, Massachusetts",41.7600902,-70.0827905,Brewster Town,Barnstable County,Massachusetts,TRUE
Brighton,Massachusetts,"Brighton, Massachusetts",42.3463503,-71.1626756,NA,Suffolk County,Massachusetts,TRUE
Brimfield,Massachusetts,"Brimfield, Massachusetts",42.1225482,-72.2005059,NA,Hampden County,Massachusetts,TRUE
Brookfield,Massachusetts,"Brookfield, Massachusetts",42.2139817,-72.1022991,NA,Worcester County,Massachusetts,TRUE
Brooksfield,Massachusetts,"Brooksfield, Massachusetts",42.2139817,-72.1022991,NA,Worcester County,Massachusetts,TRUE
Buckland,Massachusetts,"Buckland, Massachusetts",42.592307,-72.79176009999999,NA,Franklin County,Massachusetts,TRUE
Burlington,Massachusetts,"Burlington, Massachusetts",42.5047161,-71.1956205,NA,Middlesex County,Massachusetts,TRUE
Carlisle,Massachusetts,"Carlisle, Massachusetts",42.5292597,-71.3495046,NA,Middlesex County,Massachusetts,TRUE
Carver,Massachusetts,"Carver, Massachusetts",41.8834363,-70.7625376,NA,Plymouth County,Massachusetts,TRUE
Charlemont,Massachusetts,"Charlemont, Massachusetts",42.627862,-72.86981829999999,NA,Franklin County,Massachusetts,TRUE
Charlton,Massachusetts,"Charlton, Massachusetts",42.13565,-71.970074,NA,Worcester County,Massachusetts,TRUE
Chatham,Massachusetts,"Chatham, Massachusetts",41.6820897,-69.95976639999999,Chatham,Barnstable County,Massachusetts,TRUE
Cheshire,Massachusetts,"Cheshire, Massachusetts",42.5620278,-73.162881,NA,Berkshire County,Massachusetts,TRUE
Chesire,Massachusetts,"Chesire, Massachusetts",42.5620278,-73.162881,NA,Berkshire County,Massachusetts,TRUE
Chester,Massachusetts,"Chester, Massachusetts",42.2792551,-72.978712,NA,Hampden County,Massachusetts,TRUE
Chesterfield,Massachusetts,"Chesterfield, Massachusetts",42.3917541,-72.8398172,NA,Hampshire County,Massachusetts,TRUE
Chilmark,Massachusetts,"Chilmark, Massachusetts",41.3431688,-70.74475009999999,NA,Dukes County,Massachusetts,TRUE
Clarksburg,Massachusetts,"Clarksburg, Massachusetts",42.7170314,-73.092685,NA,Berkshire County,Massachusetts,TRUE
Clarksburgh,Massachusetts,"Clarksburgh, Massachusetts",42.7170314,-73.092685,NA,Berkshire County,Massachusetts,TRUE
Cohasset,Massachusetts,"Cohasset, Massachusetts",42.24176749999999,-70.8036544,NA,Norfolk County,Massachusetts,TRUE
