standardized_town,town,county,state,id,lat,lon,me_town_id
Williamsburg,Williamsburg,NA,Virginia,7035,37.269293,-76.7067172,ME-VA0005
Richmond,Richmond,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
Petersburg,Petersburg,NA,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
Richmond,Richmond,NA,Virginia,7014,37.531399,-77.4760085,ME-VA0004
Petersburg,Petersburg,Prince George,Virginia,7004,37.2047302,-77.3923681,ME-VA0003
Richmond,Richmond City,Henrico,Virginia,7014,37.531399,-77.4760085,ME-VA0004
Danville,Danville,Pittsylvania,Virginia,6969,36.5833337,-79.4080707,ME-VA0002
Alexandria,Alexandria,NA,Virginia,6942,38.8183429,-77.0820263,ME-VA0001
