standardized_town,town,county,state,id,lat,lon,me_town_id
Alstead,Alstead,Cheshire,New Hampshire,NA,43.149481,-72.3614201,ME-NH0001
Amherst,Amherst,Hillsborough,New Hampshire,8394,42.86193,-71.62402,ME-NH0002
Atkinson,Atkinson,Rockingham,New Hampshire,NA,42.8384221,-71.1470037,ME-NH0003
Barnstead,Barnstead,Strafford,New Hampshire,NA,43.3389194,-71.2782381,ME-NH0004
Barrington,Barrington,Strafford,New Hampshire,NA,43.2228599,-71.0470077,ME-NH0005
Boscawen,Boscawen,Hillsborough,New Hampshire,NA,43.3243931,-71.636864,ME-NH0006
Brentwood,Brentwood,Rockingham,New Hampshire,NA,42.9780248,-71.0735503,ME-NH0007
Bridgewater,Bridgewater,Grafton,New Hampshire,NA,43.6384067,-71.7364678,ME-NH0008
Chester,Chester,Rockingham,New Hampshire,NA,42.9567525,-71.2572846,ME-NH0009
Chichester,Chichester,Rockingham,New Hampshire,NA,43.2492477,-71.3997909,ME-NH0010
Concord,Concord,Rockingham,New Hampshire,4213,43.2324926,-71.5612523,ME-NH0011
Concord,Concord,Merrimack,New Hampshire,4213,43.2324926,-71.5612523,ME-NH0011
Concord,Concord,Hillsborough,New Hampshire,4213,43.2324926,-71.5612523,ME-NH0011
Deerfield,Deerfield,Rockingham,New Hampshire,NA,43.146194,-71.2164524,ME-NH0012
Dover,Dover,Strafford,New Hampshire,4215,43.1864894,-70.8836114,ME-NH0013
Dover,Dover,Stafford,New Hampshire,4215,43.1864894,-70.8836114,ME-NH0013
Dunbarton,Dunbarton,Hillsborough,New Hampshire,NA,43.1025818,-71.6164615,ME-NH0014
Durham,Durham,Strafford,New Hampshire,8396,43.13424,-70.92481,ME-NH0015
Epping,Epping,Rockingham,New Hampshire,NA,43.0534843,-71.0735476,ME-NH0016
Epsom,Epsom,Rockingham,New Hampshire,NA,43.2249396,-71.3445677,ME-NH0017
Exeter,Exeter,Rockingham,New Hampshire,4216,42.977138,-70.95235,ME-NH0018
Farmington,Farmington,Strafford,New Hampshire,NA,43.3897609,-71.065062,ME-NH0019
Gilmanton,Gilmanton,Strafford,New Hampshire,NA,43.4248816,-71.4138418,ME-NH0020
Greenland,Greenland,Rockingham,New Hampshire,NA,43.0361995,-70.8328322,ME-NH0021
Hampton,Hampton,Rockingham,New Hampshire,8398,42.93548,-70.8396,ME-NH0022
Hampton Falls,Hampton Falls,Rockingham,New Hampshire,NA,42.9162234,-70.863811,ME-NH0023
Hanover,Hanover,Grafton,New Hampshire,8399,43.70046,-72.2895,ME-NH0024
Hollis,Hollis,Hillsborough,New Hampshire,NA,42.7425166,-71.5895344,ME-NH0025
Keene,Keene,Cheshire,New Hampshire,4218,42.9534961,-72.3068771,ME-NH0026
Kensington,Kensington,Rockingham,New Hampshire,NA,42.9270334,-70.9439447,ME-NH0027
Lee,Lee,Strafford,New Hampshire,NA,43.122244,-71.0120127,ME-NH0028
Madbury,Madbury,Strafford,New Hampshire,NA,43.1692512,-70.9239484,ME-NH0029
New Castle,New Castle,Rockingham,New Hampshire,NA,43.0724613,-70.7160762,ME-NH0030
New Market,New Market,Rockingham,New Hampshire,NA,43.0828551,-70.9350382,ME-NH0031
New-Durham,New-Durham,Strafford,New Hampshire,NA,43.4367466,-71.1722886,ME-NH0032
Newington,Newington,Rockingham,New Hampshire,NA,43.1000871,-70.8336668,ME-NH0033
North Hampton,North Hampton,Rockingham,New Hampshire,NA,42.9737623,-70.8351792,ME-NH0034
Pittsfield,Pittsfield,Rockingham,New Hampshire,NA,43.3058983,-71.3242331,ME-NH0035
Portsmouth,Portsmouth,Rockingham,New Hampshire,4227,43.0605947,-70.7803481,ME-NH0036
Rochester,Rochester,Strafford,New Hampshire,4228,43.2984927,-70.9770055,ME-NH0037
Rye,Rye,Rockingham,New Hampshire,NA,43.0019301,-70.7695547,ME-NH0038
Sandwich,Sandwich,Strafford,New Hampshire,NA,43.7908703,-71.4104696,ME-NH0039
Seabrook,Seabrook,Rockingham,New Hampshire,NA,42.8909615,-70.8655074,ME-NH0040
Somersworth,Somersworth,Strafford,New Hampshire,4229,43.2534762,-70.8879437,ME-NH0041
Stratham,Stratham,Rockingham,New Hampshire,NA,43.0228677,-70.9163873,ME-NH0042
Wakefield,Wakefield,Strafford,New Hampshire,NA,43.5536938,-71.0288751,ME-NH0043
Wakefield,Wakefield,Stafford,New Hampshire,NA,43.5536938,-71.0288751,ME-NH0043
Walpole,Walpole,Cheshire,New Hampshire,NA,43.0794944,-72.4258229,ME-NH0044
Warner,Warner,Hillsborough,New Hampshire,NA,43.2556568,-71.8334145,ME-NH0045
Washington,Washington,Cheshire,New Hampshire,NA,43.1759107,-72.0967507,ME-NH0046
