standardized_town,town,county,state,id,lat,lon,checked,me_town_id
Adams,Adams,Jefferson and Lewis,New York,NA,43.8092321,-76.0240892,TRUE,ME-NY0001
Adams,Adams,Jefferson,New York,NA,43.8092321,-76.0240892,TRUE,ME-NY0001
Adams,Adams,Oneida,New York,NA,43.8092321,-76.0240892,TRUE,ME-NY0001
Addison,Addison,Steuben,New York,NA,42.1028514,-77.2335879,TRUE,ME-NY0002
Albany,Albany,Albany,New York,4581,42.6657453,-73.7983532,NA,ME-NY0003
Albany,Albany,NA,New York,4581,42.6657453,-73.7983532,NA,ME-NY0003
Albany,Albany,W. Albany,New York,4581,42.6657453,-73.7983532,NA,ME-NY0003
Alfred,Alfred,Allegany,New York,4584,42.2543333,-77.7896461,NA,ME-NY0004
Amenia,Amenia,Dutchess,New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Amenia,Amenia,Duchess,New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Amenia,Amenia,NA,New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Amenia,Amenia,Dutchess (Part),New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Amsterdam,Amesterdam,Montgomery,New York,4586,42.9415923,-74.1905225,NA,ME-NY0006
Amsterdam,Amsterdam,Montgomery,New York,4586,42.9415923,-74.1905225,NA,ME-NY0006
Amsterdam,Amsterdam,NA,New York,4586,42.9415923,-74.1905225,NA,ME-NY0006
Angelica,Angelica,Allegany,New York,NA,42.3067345,-78.0158388,TRUE,ME-NY0007
Angelica,Angelica,Genesee,New York,NA,42.3067345,-78.0158388,TRUE,ME-NY0007
Antwerp,Antwerp,Jefferson,New York,NA,44.1992272,-75.6068791,TRUE,ME-NY0008
Argyle,Arguyle,Washington,New York,NA,43.2378519,-73.4915018,TRUE,ME-NY0009
Argyle,Argyle,Washington,New York,NA,43.2378519,-73.4915018,TRUE,ME-NY0009
Amenia,Armenia,Dutchess,New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Amenia,Arminia,Dutchess,New York,NA,41.8492599,-73.5567918,TRUE,ME-NY0005
Athens,Athens,Greene,New York,NA,42.2603648,-73.8095707,TRUE,ME-NY0010
Auburn,Auburn,Cayuga,New York,4590,42.9337096,-76.5673419,NA,ME-NY0011
Augusta,Augusta,Oneida,New York,NA,42.718611,-77.277222,TRUE,ME-NY0012
Augusta,Augusta,Ontario,New York,NA,42.9747916,-75.5012871,TRUE,ME-NY0518
Augusta,Augusta,Ontario and Genesee,New York,NA,42.9747916,-75.5012871,TRUE,ME-NY0518
Aurelius,Aurelius,Onondaga,New York,NA,42.9188489,-76.7105632,TRUE,ME-NY0013
Aurelius,Aurelius,Onodaga,New York,NA,42.9188489,-76.7105632,TRUE,ME-NY0013
Aurelius,Aurelius,Cayuga,New York,NA,42.9188489,-76.7105632,TRUE,ME-NY0013
Aurelius,Aurelius,NA,New York,NA,42.9188489,-76.7105632,TRUE,ME-NY0013
Aurelius,Aureluis,Cayuga,New York,NA,42.9188489,-76.7105632,TRUE,ME-NY0013
Ballston,Baelstown,W. Albany,New York,NA,42.9653961,-73.8654295,TRUE,ME-NY0015
Ballston,Ballston,Saratoga,New York,NA,42.9653961,-73.8654295,TRUE,ME-NY0015
Ballston,Ballston,NA,New York,NA,42.9653961,-73.8654295,TRUE,ME-NY0015
Ballston,Ballstown,Saratoga,New York,NA,42.9653961,-73.8654295,TRUE,ME-NY0015
Ballston,Ballstown,Albany,New York,NA,42.9653961,-73.8654295,TRUE,ME-NY0015
Bangor,Bangor,Franklin,New York,NA,44.8122731,-74.3973963,TRUE,ME-NY0016
Beekman,Barkman Town,Duchess,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Batavia,Batavia,Genesee,New York,4595,42.9985582,-78.1808064,NA,ME-NY0017
Batavia,Batavia,Genesse,New York,4595,42.9985582,-78.1808064,NA,ME-NY0017
Bath,Bath,Steuben,New York,4596,42.3360869,-77.3168523,NA,ME-NY0018
Beekman,Beckman,Dutchess,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekman,Beckman,Dutchess (Part),New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekman,Beckman,NA,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekmantown,Beckmantown,Clinton,New York,NA,44.7708742,-73.4920802,TRUE,ME-NY0021
Bedford,Bedford,Westchester,New York,NA,41.204262,-73.6437397,TRUE,ME-NY0019
Bedford,Bedford,Westchester (Lower),New York,NA,41.204262,-73.6437397,TRUE,ME-NY0019
Beekman,Beekman,Dutchess,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekman,Beekman,Duchess,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekman,Beekman,NA,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Beekman,Beekmantown,Dutchess,New York,NA,41.6109269,-73.7129076,TRUE,ME-NY0020
Vienna,Bengal,Oneida,New York,NA,43.2395135,-75.7024065,TRUE,ME-NY0478
Berkshire,Berkshire,Broome,New York,NA,42.3042402,-76.1865964,TRUE,ME-NY0022
Berkshire,Berkshire,NA,New York,NA,42.3042402,-76.1865964,TRUE,ME-NY0022
Berlin,Berlin,Rensselaer,New York,NA,42.6931351,-73.3720549,TRUE,ME-NY0023
Berne,Bern,Albany,New York,NA,42.6253546,-74.1334647,TRUE,ME-NY0024
Berne,Bern,NA,New York,NA,42.6253546,-74.1334647,TRUE,ME-NY0024
Berne,Berne,Albany,New York,NA,42.6253546,-74.1334647,TRUE,ME-NY0024
Bethel,Bethel,Sullivan,New York,NA,41.6837659,-74.8719284,TRUE,ME-NY0025
Bethlehem,Bethleham,Albany,New York,NA,42.5778541,-73.8183804,TRUE,ME-NY0026
Bethlehem,Bethlehem,Albany,New York,NA,42.5778541,-73.8183804,TRUE,ME-NY0026
Bethlehem,Bethlehem,NA,New York,NA,42.5778541,-73.8183804,TRUE,ME-NY0026
Blenheim,Blenheim,Schoharie,New York,NA,42.4794352,-74.4760088,TRUE,ME-NY0027
Blenheim,Blenheim,NA,New York,NA,42.4794352,-74.4760088,TRUE,ME-NY0027
Blenheim,Blenheim,Schenectady,New York,NA,42.4794352,-74.4760088,TRUE,ME-NY0027
Bloomfield,Bloomfield,Ontario,New York,NA,42.8972624,-77.4214278,TRUE,ME-NY0028
Bloomfield,Bloomfield,Ontario and Genesee,New York,NA,42.8972624,-77.4214278,TRUE,ME-NY0028
Blooming Grove,Blooming Grove,Orange,New York,NA,41.4227446,-74.2047875,TRUE,ME-NY0029
Blooming Grove,Bloomingrove,Orange County,New York,NA,41.4227446,-74.2047875,TRUE,ME-NY0029
Bolton,Bolton,Washington,New York,NA,43.5788608,-73.6771662,TRUE,ME-NY0030
Boonville,Boonville,Oneida,New York,NA,43.4836801,-75.3365607,TRUE,ME-NY0031
Bridgewater,Bridgewater,Oneida,New York,NA,42.8792376,-75.2509971,TRUE,ME-NY0032
Brighton,Brighton,Monroe,New York,8435,43.11596,-77.57173,NA,ME-NY0033
Bristol,Bristol,Ontario,New York,NA,42.8453424,-77.424156,TRUE,ME-NY0034
Bristol,Bristol,Ontario and Genesee,New York,NA,42.8453424,-77.424156,TRUE,ME-NY0034
Bristol,Bristol,Schoharie,New York,NA,42.1791865,-75.8533954,TRUE,ME-NY0039
Bristol,Bristol,NA,New York,NA,42.1791865,-75.8533954,TRUE,ME-NY0039
Bristol,Briston,Schoharie,New York,NA,42.1791865,-75.8533954,TRUE,ME-NY0039
Broudalbin,Broadalban,Montgomery,New York,NA,43.0586846,-74.1965206,TRUE,ME-NY0040
Broadalbin,Broadalbin,Montgomery,New York,NA,43.0586846,-74.1965206,TRUE,ME-NY0035
Broadalbin,Broadalbin,NA,New York,NA,43.0586846,-74.1965206,TRUE,ME-NY0035
Broudalbin,Broadalkin,Montgomery,New York,NA,43.0586846,-74.1965206,TRUE,ME-NY0040
Brookhaven,Brook Haven,Suffolk,New York,NA,40.7792653,-72.9153827,TRUE,ME-NY0037
Brookfield,Brookfield,Herkimer,New York,NA,42.8128488,-75.3176677,TRUE,ME-NY0036
Brookfield,Brookfield,Chenango,New York,NA,42.8128488,-75.3176677,TRUE,ME-NY0036
Brookfield,Brookfield,Madison,New York,NA,42.8128488,-75.3176677,TRUE,ME-NY0036
