standardized_town,town,county,state,id,lat,lon,checked,me_town_id
Brookhaven,Brookhaven,Suffolk,New York,NA,40.7792653,-72.9153827,TRUE,ME-NY0037
Brookhaven,Brookhaven,NA,New York,NA,40.7792653,-72.9153827,TRUE,ME-NY0037
Brooklyn,Brooklyn,Kings,New York,4606,40.659806,-73.951035,NA,ME-NY0038
Brooklyn,Brooklyn,NA,New York,4606,40.659806,-73.951035,NA,ME-NY0038
Broome,Broome,Schoharie,New York,NA,42.1791865,-75.8533954,TRUE,ME-NY0039
Broome,Broome,Schenectady,New York,NA,42.1791865,-75.8533954,TRUE,ME-NY0039
Brownville,Brownsville,Jefferson and Lewis,New York,NA,44.0070026,-75.9840923,TRUE,ME-NY0041
Brownville,Brownsville,Oneida,New York,NA,44.0070026,-75.9840923,TRUE,ME-NY0041
Brownville,Brownsville,Jefferson,New York,NA,44.0070026,-75.9840923,TRUE,ME-NY0041
Brownville,Brownville,Jefferson,New York,NA,44.0070026,-75.9840923,TRUE,ME-NY0041
Brownville,Brownville,Oneida,New York,NA,44.0070026,-75.9840923,TRUE,ME-NY0041
Brunswick,Brunswick,Rensselaer,New York,NA,42.7359115,-73.5615043,TRUE,ME-NY0042
Brutus,Brutus,Cayuga,New York,NA,43.04844346,-76.53762817,TRUE,ME-NY0043
Brutus,Brutus,NA,New York,NA,43.04844346,-76.53762817,TRUE,ME-NY0043
Buffalo,Buffalo,Niagara,New York,4608,42.8924919,-78.8596862,NA,ME-NY0044
Burlington,Burlingnton,Onondaga,New York,NA,42.7228512,-75.1254387,TRUE,ME-NY0045
Burlington,Burlington,Otsego,New York,NA,42.7228512,-75.1254387,TRUE,ME-NY0045
Burlington,Burlington,Ostego,New York,NA,42.7228512,-75.1254387,TRUE,ME-NY0045
Bushwick,Bushwick,Kings,New York,NA,40.6944282,-73.9212858,TRUE,ME-NY0046
Bushwick,Bushwyck,Kings,New York,NA,40.6944282,-73.9212858,TRUE,ME-NY0046
Bushwick,Bushwyck,NA,New York,NA,40.6944282,-73.9212858,TRUE,ME-NY0046
Bushwick,Buthwick,Kings,New York,NA,40.6944282,-73.9212858,TRUE,ME-NY0046
Butternuts,Butternut,Otsego,New York,NA,42.4773619,-75.3178952,TRUE,ME-NY0047
Butternuts,Butternuts,Otsego,New York,NA,42.4773619,-75.3178952,TRUE,ME-NY0047
Butternuts,Butternuts,Ostego,New York,NA,42.4773619,-75.3178952,TRUE,ME-NY0047
Cairo,Cairo,Greene,New York,NA,42.2989749,-73.9984659,TRUE,ME-NY0048
Caledonia,Caledonia,Genesee,New York,NA,42.9731175,-77.852785,TRUE,ME-NY0049
Caledonia,Caledonia,Genesse,New York,NA,42.9731175,-77.852785,TRUE,ME-NY0049
Cambria,Cambria,Niagara,New York,NA,43.1848992,-78.8156113,TRUE,ME-NY0050
Cambridge,Cambridge,Washington,New York,NA,43.0281329,-73.3812231,TRUE,ME-NY0051
Cambridge,Cambridge,Albany (East),New York,NA,43.0281329,-73.3812231,TRUE,ME-NY0051
Cambridge,Cambridge,Albany,New York,NA,43.0281329,-73.3812231,TRUE,ME-NY0051
Cambridge,Cambridge,E. Albany,New York,NA,43.0281329,-73.3812231,TRUE,ME-NY0051
Camden,Camden,Oneida,New York,NA,43.3345138,-75.747964,TRUE,ME-NY0052
Camillus,Camilius,Onondaga,New York,NA,43.039233,-76.3040965,TRUE,ME-NY0053
Camillus,Camillus,Onondaga,New York,NA,43.039233,-76.3040965,TRUE,ME-NY0053
Germantown,Camp,Columbia,New York,NA,42.1345339,-73.8917982,TRUE,ME-NY0159
Canaan,Canaan,Columbia,New York,NA,42.4116592,-73.447175,TRUE,ME-NY0054
Canandaigua,Canadaigua,Ontario,New York,4609,42.8889987,-77.2803208,NA,ME-NY0057
Canandaigua,Canadaque,Ontario,New York,4609,42.8889987,-77.2803208,NA,ME-NY0057
Caneadea,Canaedea,Allegany,New York,NA,42.3864542,-78.1536209,TRUE,ME-NY0058
Caneadea,Canaedes,Allegany,New York,NA,42.3864542,-78.1536209,TRUE,ME-NY0058
Canajoharie,Canajoharie,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canajoharie,Canajoharry,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canajoharie,Canajohary,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canajoharie,Canajohary,NA,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canandaigua,Canandaigua,Ontario,New York,4609,42.8889987,-77.2803208,NA,ME-NY0057
Canandaigua,Canandaigua,Ontario and Genesee,New York,4609,42.8889987,-77.2803208,NA,ME-NY0057
Canandaigua,Canandaiqua,Ontario,New York,4609,42.8889987,-77.2803208,NA,ME-NY0057
Canadaque,Canandarqua,Ontario,New York,NA,42.887535,-77.2816984,TRUE,ME-NY0055
Canisteo,Canesteo,Steuben,New York,NA,42.2703487,-77.6058225,TRUE,ME-NY0059
Canisteo,Canisteo,Steuben,New York,NA,42.2703487,-77.6058225,TRUE,ME-NY0059
Canajoharie,Cannajoharie,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canajoharie,Canojoharie,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canajoharie,Canojohary,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Canton,Canton,Greene,New York,NA,42.2989749,-73.9984659,TRUE,ME-NY0048
Canton,Canton,NA,New York,NA,42.2989749,-73.9984659,TRUE,ME-NY0048
Canton,Canton,St. Lawrence,New York,4611,44.5995095,-75.1706714,NA,ME-NY0060
Carlisle,Carlisle,Schoharie,New York,NA,42.7570191,-74.4456909,TRUE,ME-NY0061
Carlisle,Carlisle,Schenectady,New York,NA,42.7570191,-74.4456909,TRUE,ME-NY0061
Carmel,Carmel,Dutchess,New York,NA,41.4300937,-73.6801297,TRUE,ME-NY0062
Carmel,Carmel,Duchess,New York,NA,41.4300937,-73.6801297,TRUE,ME-NY0062
Carmel,Carmel,Putnam,New York,NA,41.4300937,-73.6801297,TRUE,ME-NY0062
Carmel,Carmel,NA,New York,NA,41.4300937,-73.6801297,TRUE,ME-NY0062
Cazenovia,Casanova,Herkimer,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Cazenovia,Casenovia,Chenango,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Cazenovia,Cassinovia,Herkimer,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Castleton,Castle Town,Richmond,New York,NA,40.61707982,-74.10415649,TRUE,ME-NY0063
Castleton,Castleton,Richmond,New York,NA,40.61707982,-74.10415649,TRUE,ME-NY0063
Castleton,Castletown,Richmond,New York,NA,40.61707982,-74.10415649,TRUE,ME-NY0063
Castleton,Castletown,NA,New York,NA,40.61707982,-74.10415649,TRUE,ME-NY0063
Chatham,Catham,Columbia,New York,4617,42.36207,-73.599686,NA,ME-NY0074
Catharine,Catharine's Town,Tioga,New York,NA,42.312852,-76.7846764,TRUE,ME-NY0064
Catharine,Catharines,Tioga,New York,NA,42.312852,-76.7846764,TRUE,ME-NY0064
Catharine,Catherine,Tioga,New York,NA,42.312852,-76.7846764,TRUE,ME-NY0064
Catharine,Catherines,Tioga,New York,NA,42.312852,-76.7846764,TRUE,ME-NY0064
Cato,Cato,Cayuga,New York,NA,43.1681225,-76.5729987,TRUE,ME-NY0065
Cato,Cato,NA,New York,NA,43.1681225,-76.5729987,TRUE,ME-NY0065
Catskill,Catskill,Albany,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Catskill,Greene,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Catskill,NA,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Catskill,Ulster,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Catskill,W. Albany,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Catts-Kill,Albany,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Catskill,Cattskill,Albany,New York,4613,42.2126036,-73.8599108,NA,ME-NY0066
Caughnawaga,Caughnawaga,Montgomery,New York,NA,42.99159003,-74.19685364,TRUE,ME-NY0067
Cazenovia,Cazanovia,Herkimer,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Cazenovia,Cazenova,Madison,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Cazenovia,Cazenovia,Chenango,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Cazenovia,Cazenovia,Madison,New York,4615,42.9282682,-75.8501814,NA,ME-NY0068
Charlton,Chaarleton,Saratoga,New York,NA,42.9334089,-73.9690142,TRUE,ME-NY0072
Champion,Champien,Jefferson,New York,NA,43.9622893,-75.6901951,TRUE,ME-NY0069
Champion,Champion,Oneida,New York,NA,43.9622893,-75.6901951,TRUE,ME-NY0069
Champion,Champion,Jefferson and Lewis,New York,NA,43.9622893,-75.6901951,TRUE,ME-NY0069
Champion,Champion,Jefferson,New York,NA,43.9622893,-75.6901951,TRUE,ME-NY0069
Champlain,Champlaign,Clinton,New York,NA,44.9864273,-73.4465251,TRUE,ME-NY0070
Champlain,Champlain,Clinton,New York,NA,44.9864273,-73.4465251,TRUE,ME-NY0070
Champlain,Champlain,Jefferson,New York,NA,44.9864273,-73.4465251,TRUE,ME-NY0070
Champlain,Champlin,Clinton,New York,NA,44.9864273,-73.4465251,TRUE,ME-NY0070
Champlain,Champlin,NA,New York,NA,44.9864273,-73.4465251,TRUE,ME-NY0070
Charleston,Charleston,Montgomery,New York,NA,42.81958072,-74.28131104,TRUE,ME-NY0071
Charleston,Charleston,NA,New York,NA,42.81958072,-74.28131104,TRUE,ME-NY0071
Charleston,Charleston,Ontario,New York,NA,42.904722,-77.611667,TRUE,ME-NY0519
Charleston,Charlestown,Montgomery,New York,NA,42.81958072,-74.28131104,TRUE,ME-NY0071
Charleston,Charlestown,Ontario,New York,NA,42.904722,-77.611667,TRUE,ME-NY0519
Charleston,Charlestown,Ontario and Genesee,New York,NA,42.904722,-77.611667,TRUE,ME-NY0519
Clarkstown,Charlestown,Rockland,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Charlton,Charleton,Saratoga,New York,NA,42.9334089,-73.9690142,TRUE,ME-NY0072
Charleston,Charlston,Montgomery,New York,NA,42.81958072,-74.28131104,TRUE,ME-NY0071
Charlton,Charlstown,Saratoga,New York,NA,42.9334089,-73.9690142,TRUE,ME-NY0072
Charlton,Charlton,Saratoga,New York,NA,42.9334089,-73.9690142,TRUE,ME-NY0072
Charlton,Charlton,NA,New York,NA,42.9334089,-73.9690142,TRUE,ME-NY0072
Chateaugay,Chateagay,Clinton,New York,NA,44.9264336,-74.0796081,TRUE,ME-NY0073
Chateaugay,Chateaugay,Clinton,New York,NA,44.9264336,-74.0796081,TRUE,ME-NY0073
Chateaugay,Chateauguay,Franklin,New York,NA,44.9264336,-74.0796081,TRUE,ME-NY0073
Chatham,Chatham,Columbia,New York,4617,42.36207,-73.599686,NA,ME-NY0074
Chateaugay,Chattagua,Clinton,New York,NA,44.9264336,-74.0796081,TRUE,ME-NY0073
Chateaugay,Chattaguay,Clinton,New York,NA,44.9264336,-74.0796081,TRUE,ME-NY0073
Chautauqua,Chautaugue,Niagara,New York,NA,42.209774,-79.4668445,TRUE,ME-NY0075
Chazy,Chazy,Clinton,New York,NA,44.8895329,-73.4360334,TRUE,ME-NY0076
Chazy,Chazy,NA,New York,NA,44.8895329,-73.4360334,TRUE,ME-NY0076
Monroe,Cheesecocks,Orange,New York,4753,41.3203951,-74.1830199,NA,ME-NY0277
Chemung,Chemong,Tioga,New York,NA,42.0084073,-76.6238369,TRUE,ME-NY0077
Chemung,Chemung,Tioga,New York,NA,42.0084073,-76.6238369,TRUE,ME-NY0077
Chemung,Chemungo,Tioga,New York,NA,42.0084073,-76.6238369,TRUE,ME-NY0077
Chenango,Chenango,Tioga,New York,NA,42.18299553,-75.8877182,TRUE,ME-NY0078
Chenango,Chenango,Broome,New York,NA,42.18299553,-75.8877182,TRUE,ME-NY0078
Chenango,Chenango,NA,New York,NA,42.18299553,-75.8877182,TRUE,ME-NY0078
Chenango,Cheningo,Tioga,New York,NA,42.18299553,-75.8877182,TRUE,ME-NY0078
Cherry Valley,Cherry Valley,Otsego,New York,NA,42.7956294,-74.7532018,TRUE,ME-NY0079
Cherry Valley,Cherry Valley,Ostego,New York,NA,42.7956294,-74.7532018,TRUE,ME-NY0079
Chester,Chester,Washington,New York,4618,41.3569422,-74.2769204,NA,ME-NY0080
Chesterfield,Chesterfield,Essex,New York,NA,44.44407537,-73.50059509,TRUE,ME-NY0081
Chili,Chile,Monroe,New York,NA,43.10399093,-77.75135994,TRUE,ME-NY0082
Chili,Chili,Monroe,New York,NA,43.10399093,-77.75135994,TRUE,ME-NY0082
Cicero,Cicero,Onondaga,New York,NA,43.1763158,-76.1141646,TRUE,ME-NY0083
Cincinnatus,Cincinnatus,NA,New York,NA,42.5422923,-75.8957534,TRUE,ME-NY0084
Cincinnatus,Cincinnatus,Cortlandt,New York,NA,42.5422923,-75.8957534,TRUE,ME-NY0084
Cincinnatus,Cincinnatus,Onondaga,New York,NA,42.5422923,-75.8957534,TRUE,ME-NY0084
Cincinnatus,Cincinnatus,Cortland,New York,NA,42.5422923,-75.8957534,TRUE,ME-NY0084
Clermont,Claremont,Columbia,New York,NA,42.08304739,-73.82838249,TRUE,ME-NY0089
Clarence,Clarence,Niagara,New York,NA,42.9767255,-78.5919709,TRUE,ME-NY0085
Clarkstown,Clark's Town,Orange,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkstown,Clarkestown,Orange,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkstown,Clarks Town,Orange,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkson,Clarkson,Monroe,New York,NA,43.2331655,-77.927621,TRUE,ME-NY0086
Clarkstown,Clarkstown,Orange,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkstown,Clarkstown,Rockland,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkstown,Clarkstown,NA,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clarkstown,Clarkstown,Richmond,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Claverack,Clavarack,Columbia,New York,NA,42.223403,-73.7351586,TRUE,ME-NY0088
Claverack,Claverack,Columbia,New York,NA,42.223403,-73.7351586,TRUE,ME-NY0088
Claverack,Claverick,Columbia,New York,NA,42.223403,-73.7351586,TRUE,ME-NY0088
Clarkstown,Clerko Town,Orange,New York,NA,41.1259715,-73.959494,TRUE,ME-NY0087
Clermont,Clermont,Columbia,New York,NA,42.08304739,-73.82838249,TRUE,ME-NY0089
Clinton,Clinton,Dutchess,New York,NA,43.0484029,-75.3785034,TRUE,ME-NY0090
Clinton,Clinton,Duchess,New York,NA,43.0484029,-75.3785034,TRUE,ME-NY0090
Clinton,Clinton,NA,New York,NA,43.0484029,-75.3785034,TRUE,ME-NY0090
Clinton,Cllinton,Dutchess,New York,NA,43.0484029,-75.3785034,TRUE,ME-NY0090
Cobleskill,Cobelskill,Schoharie,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Cobleskill,Cobelskill,NA,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Cobleskill,Coblekill,Schoharie,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Cobleskill,Cobleskill,Schoharie,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Cobleskill,Cobleskill,Schenectady,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Cobleskill,Cobus Kill,Schoharie,New York,4621,42.6790021,-74.4852336,NA,ME-NY0091
Coxsackie,Cocksakie,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Cocsacke,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coeymans,Coeymans,Albany,New York,NA,42.4739705,-73.7923456,TRUE,ME-NY0092
Coeymans,Coeymans,NA,New York,NA,42.4739705,-73.7923456,TRUE,ME-NY0092
Colchester,Colchester,Ulster,New York,NA,42.1603635,-75.077389,TRUE,ME-NY0094
Colchester,Colchester,Delaware,New York,NA,42.1603635,-75.077389,TRUE,ME-NY0094
Colonie,Colonie,Albany,New York,4625,42.7208726,-73.8317359,NA,ME-NY0095
Columbia,Columbia,Herkimer,New York,NA,42.93320722,-75.03773689,TRUE,ME-NY0096
Columbus,Columbus,Chenango,New York,NA,42.6839611,-75.3726723,TRUE,ME-NY0097
Canajoharie,Conajoharie,Montgomery,New York,NA,42.9056288,-74.5718073,TRUE,ME-NY0056
Concord,Concord,Niagara,New York,NA,42.5267722,-78.70193481,TRUE,ME-NY0098
Cohocton,Conhocton,Steuben,New York,NA,42.5022907,-77.5072102,TRUE,ME-NY0093
Conquest,Conquest,Cayuga,New York,NA,43.1211773,-76.6480028,TRUE,ME-NY0099
Constable,Constable,Franklin,New York,NA,44.9292125,-74.2971311,TRUE,ME-NY0100
Constantia,Constantia,Oneida,New York,NA,43.2478466,-76.0001965,TRUE,ME-NY0101
Coxsackie,Cooksackie,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Corinth,Corinth,Saratoga,New York,4626,43.2456617,-73.8303482,NA,ME-NY0102
Cornwall,Cornwall,Orange,New York,4628,41.442589,-74.013898,NA,ME-NY0103
Cornwall,Cornwall,Orange County,New York,4628,41.442589,-74.013898,NA,ME-NY0103
Cortlandt,Cortlandt,Westchester,New York,NA,41.24928971,-73.90417099,TRUE,ME-NY0104
Cortlandt,Cortlandt,Westchester (Upper),New York,NA,41.24928971,-73.90417099,TRUE,ME-NY0104
Cortlandt,Cortlandt Town,Westchester,New York,NA,41.24928971,-73.90417099,TRUE,ME-NY0104
Coventry,Coventry,Chenango,New York,NA,42.3159098,-75.6385205,TRUE,ME-NY0105
Covert,Covert,Seneca,New York,NA,42.5753492,-76.6835596,TRUE,ME-NY0106
Coxsackie,Coxackie,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Coxakie,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Coxsackie,Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Coxsackie,Greene,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Coxsackie,NA,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Coxsackie,Coxsackie,W. Albany,New York,4631,42.3576381,-73.8079973,NA,ME-NY0107
Crown Point,Crown Point,Essex,New York,NA,43.9503352,-73.4370667,TRUE,ME-NY0108
Crown Point,Crown Point,Clinton,New York,NA,43.9503352,-73.4370667,TRUE,ME-NY0108
Crown Point,Crown-Point,Essex,New York,NA,43.9503352,-73.4370667,TRUE,ME-NY0108
Crown Point,Crownpoint,Clinton,New York,NA,43.9503352,-73.4370667,TRUE,ME-NY0108
Crown Point,Crownpoint,Essex,New York,NA,43.9503352,-73.4370667,TRUE,ME-NY0108
Cumberland,Cumberland,Ulster,New York,NA,NA,NA,NA,ME-NY0109
Dansville,Dansville,Steuben,New York,4634,42.5624825,-77.6969273,NA,ME-NY0110
Dansville,Danville,Steuben,New York,4634,42.5624825,-77.6969273,NA,ME-NY0110
Dansville,Danville,Essex,New York,NA,44.3886137,-73.8154356,TRUE,ME-NY0508
