town,state,city_state,lat,lon,administrative_area_level_3,administrative_area_level_2,administrative_area_level_1,checked
Acton,Vermont,"Acton, Vermont",43.111635734479556,-72.65018463134764,NA,Windsor County,Vermont,TRUE
Addison,Vermont,"Addison, Vermont",44.0886671,-73.30262200000001,NA,Addison County,Vermont,TRUE
Albany,Vermont,"Albany, Vermont",44.7309405,-72.37980759999999,NA,Orleans County,Vermont,TRUE
Alburgh,Vermont,"Alburgh, Vermont",44.9750541,-73.30022389999999,NA,Grand Isle County,Vermont,TRUE
Andover,Vermont,"Andover, Vermont",43.27735860000001,-72.6965278,Ludlow,Windsor County,Vermont,TRUE
Arlington,Vermont,"Arlington, Vermont",43.0747996,-73.1539954,Arlington,Bennington County,Vermont,TRUE
Athens,Vermont,"Athens, Vermont",43.13308259999999,-72.56790889999999,NA,Windham County,Vermont,TRUE
Bakersfield,Vermont,"Bakersfield, Vermont",44.781992700000004,-72.8029085,NA,Franklin County,Vermont,TRUE
Baltimore,Vermont,"Baltimore, Vermont",43.3603629,-72.5724379,Springfield,Windsor County,Vermont,TRUE
Barnard,Vermont,"Barnard, Vermont",43.728679,-72.6189876,NA,Windsor County,Vermont,TRUE
Barnet,Vermont,"Barnet, Vermont",44.2968323,-72.0493779,NA,Caledonia County,Vermont,TRUE
Barton,Vermont,"Barton, Vermont",44.7480805,-72.17625799999999,NA,Orleans County,Vermont,TRUE
Belvidere,Vermont,"Belvidere, Vermont",44.7492093,-72.6986673,Johnson,Lamoille County,Vermont,TRUE
Benson,Vermont,"Benson, Vermont",43.7099497,-73.3001233,Putnam,Rutland County,Vermont,TRUE
Berkshire,Vermont,"Berkshire, Vermont",44.9717124,-72.7754147,Frelighsburg,Franklin County,Vermont,TRUE
Berlin,Vermont,"Berlin, Vermont",44.2152614,-72.5861615,Northfield,Washington County,Vermont,TRUE
Bethel,Vermont,"Bethel, Vermont",43.8332779,-72.633995,NA,Windsor County,Vermont,TRUE
Billymead,Vermont,"Billymead, Vermont",44.62859586258382,-72.01915740966797,NA,Windham County,Vermont,TRUE
Bolton,Vermont,"Bolton, Vermont",44.3726476,-72.87876250000001,NA,Chittenden County,Vermont,TRUE
Bradford,Vermont,"Bradford, Vermont",43.9925666,-72.1289793,Bradford,Orange County,Vermont,TRUE
Braintree,Vermont,"Braintree, Vermont",43.9621778,-72.70464869999999,Northfield,Orange County,Vermont,TRUE
Brandon,Vermont,"Brandon, Vermont",43.7981195,-73.0876119,Brandon,Rutland County,Vermont,TRUE
Brattleborough,Vermont,"Brattleborough, Vermont",42.8509152,-72.5578678,Brattleboro,Windham County,Vermont,TRUE
Bridgewater,Vermont,"Bridgewater, Vermont",43.58812500000001,-72.6250967,NA,Windsor County,Vermont,TRUE
Bridport,Vermont,"Bridport, Vermont",43.9873736,-73.351164,NA,Addison County,Vermont,TRUE
Bristol,Vermont,"Bristol, Vermont",44.1333912,-73.0790076,Bristol,Addison County,Vermont,TRUE
Brookfield,Vermont,"Brookfield, Vermont",44.0422861,-72.6034385,Northfield,Orange County,Vermont,TRUE
Brookline,Vermont,"Brookline, Vermont",43.0317464,-72.6014802,NA,Windham County,Vermont,TRUE
Browington,Vermont,"Browington, Vermont",44.8266615,-72.13480969999999,NA,Orleans County,Vermont,TRUE
Brownington,Vermont,"Brownington, Vermont",44.8266615,-72.13480969999999,NA,Orleans County,Vermont,TRUE
Brumley,Vermont,"Brumley, Vermont",43.23044585977809,-72.8939437866211,NA,Rutland County,Vermont,TRUE
Brunswick,Vermont,"Brunswick, Vermont",44.7281752,-71.67495509999999,NA,Essex County,Vermont,TRUE
Burke,Vermont,"Burke, Vermont",44.618233,-71.9368346,NA,Caledonia County,Vermont,TRUE
Cabot,Vermont,"Cabot, Vermont",44.4014456,-72.3123248,Cabot,Washington County,Vermont,TRUE
Calais,Vermont,"Calais, Vermont",44.363296,-72.46634259999999,Cabot,Washington County,Vermont,TRUE
Cambridge,Vermont,"Cambridge, Vermont",44.6447724,-72.87627719999999,Johnson,Lamoille County,Vermont,TRUE
Canaan,Vermont,"Canaan, Vermont",44.9964934,-71.5383736,Saint-Herménégilde,Essex County,Vermont,TRUE
Castleton,Vermont,"Castleton, Vermont",43.6106223,-73.17983199999999,NA,Rutland County,Vermont,TRUE
Cavendish,Vermont,"Cavendish, Vermont",43.391202605805,-72.60005950927734,Ludlow,Windsor County,Vermont,TRUE
