town,County,Issue,note
Kent,Putnam,Incorrect lat and lon,geochecker
Le Roy,Jefferson and Lewis,Incorrectly attached to CCD Le Roy (Genessee);spelling error - should be Le Ray (Jefferson),fuzzy join issue
Le Roy,Jefferson,Incorrectly attached to CCD Le Roy (Genessee);spelling error - should be Le Ray (Jefferson),fuzzy join issue
LeRay,Jefferson,Incorrectly attached to CCD Le Roy (Genessee);spelling error - should be Le Ray (Jefferson),fuzzy join issue
LeRoy,Jefferson,Incorrectly attached to CCD Le Roy (Genessee);spelling error - should be Le Ray (Jefferson),fuzzy join issue
Owego,,incorrectly attached to Oswego in CCD (duplicated and attached),fuzzy join issue
Prattsburgh,Steuben,incorrectly attached to Plattsburgh in CCD,fuzzy join issue
Rochester,Ulster,"incorrectly attached to Rochester, Monroe in CCD",fuzzy join issue
Salibury,Montgomery,Incorrect Lat and lon (on Salisbury in Nassau not in Herkimer),geochecker
Salisbury,Montgomery,Incorrect Lat and lon (on Salisbury in Nassau not in Herkimer),geochecker
Salisbury,N/A,Incorrect Lat and lon (on Salisbury in Nassau not in Herkimer),geochecker
Tompkins,Delaware,Incorrect lat and lon,geochecker
Victory,Cayuga,incorrectly attached to Oswego in CCD (duplicated and attached),
Walkill,Ulster,Incorrect lat and lon,
Wall Kill,Ulster,Incorrect lat and lon,
Wallkill,Orange,Incorrect lat and lon,
Wallkill,Orange County,Incorrect lat and lon,
Wallkill,Ulster,Incorrect lat and lon,
