candidate_num,county,election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,vote,ahcb_county,id,fips
2,Westchester,ny.uscongress3.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 3",U.S. House of Representatives,ON125,Theodorus Bailey,BT0171,Anti-Federalist,A02,NA,WESTCHESTER,nys_westchester,36119
1,Orange,ny.uscongress4.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Hathorn,HJ0485,Anti-Federalist,A02,NA,ORANGE,nys_orange,36071
1,Ulster,ny.uscongress4.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 4",U.S. House of Representatives,ON125,John Hathorn,HJ0485,Anti-Federalist,A02,NA,ULSTER,nys_ulster,36111
1,Albany,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,504,ALBANY,nys_albany,36001
2,Albany,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Matthew Adgate,AM0007,Anti-Federalist,A02,530,ALBANY,nys_albany,36001
3,Albany,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Williams,WJ0409,Anti-Federalist,A02,NA,ALBANY,nys_albany,36001
1,Clinton,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,23,CLINTON,nys_clinton,36019
2,Clinton,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Matthew Adgate,AM0007,Anti-Federalist,A02,NA,CLINTON,nys_clinton,36019
3,Clinton,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,John Williams,WJ0409,Anti-Federalist,A02,36,CLINTON,nys_clinton,36019
1,Columbia,ny.uscongress5.1789,1789,1789,General,"New York 1789 U.S. House of Representatives, District 5",U.S. House of Representatives,ON125,Peter Sylvester,SP0060,Federalist,A01,954,COLUMBIA,nys_columbia,36021
