election_id,election_date,election_year,election_type,election_label,office_name,office_id,candidate,name_id,affiliation,affiliation_id,candidate_num,district,vote
ms.uscongress.1822,1822,1822,General,Mississippi 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,Christopher Rankin,RC0047,null,null,1,NA,NA
ms.uscongress.1822,1822,1822,General,Mississippi 1822 U.S. House of Representatives,U.S. House of Representatives,ON125,George Poindexter,PG0042,null,null,2,NA,NA
