county,election_id,election_year,ahcb_county,Eleazer Church,George Hosomer,John H. Jones,Joseph R. Ramsdale,Moses Hayden,"Simon Stone, II"
Livingston,ny.uscongress27.1822,1822,LIVINGSTON,0.0,1.0,759.0,3.0,1406.0,0.0
Monroe,ny.uscongress27.1822,1822,MONROE,1.0,0.0,1264.0,0.0,1711.0,1.0
