county,election_id,election_year,ahcb_county,"Aaron Hackley, Jr.",Aaron Wilcox,Adam Frink,Daniel E. Evans,Dennison Palmer,Ellery Shaw,Gamaliel H. Barstow,George G. Potter,George Rosecrantz,John Marshall,John Smith,Jonas Cleland,Levi Adams,Nicholas Fosdick,Philo M. Hackney,Samuel Payne,Simeon Ford,Solomon Beebe,Thomas Greenly,Thomas H. Hubbard,Westely Willoughby,William J. Hough
Herkimer,ny.uscongress17.1818,1818,HERKIMER,933.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,5.0,2.0,3.0,1.0,0.0,15.0,0.0,0.0,0.0,8.0,0.0
Madison,ny.uscongress17.1818,1818,MADISON,1001.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,2.0,2.0,0.0,1.0
