county,election_id,election_year,ahcb_county,Abraham Brown,Benjamin Isaacs,Cortlandt,Hendrick Revere,Isaac Sniffen,James Morriss,John Cole,John Herring,John Robert,Pere Van Cortlandt,Philip Van Cortlandt
Rockland,ny.uscongress4.1804,1804,ROCKLAND,0.0,0.0,0.0,0.0,0.0,0.0,3.0,514.0,0.0,0.0,107.0
Westchester,ny.uscongress4.1804,1804,WESTCHESTER,1.0,1.0,1.0,1.0,1.0,2.0,0.0,324.0,1.0,2.0,1435.0
