county,election_id,election_year,ahcb_county,Benjamin Isaacs,Caleb Tompkins,Darius Crosby,Edward Suffren,Frederick J. Coffin,Jacob De La Montagnie,John Garretson,John S. Sutton,John Wood,Jonathan Ward,Joseph Garrison,Philip Van Cortlandt,William Barker,William Requa
Rockland,ny.uscongress3.1818,1818,ROCKLAND,0.0,532.0,4.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0
Westchester,ny.uscongress3.1818,1818,WESTCHESTER,623.0,907.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,387.0,2.0,2.0
