county,election_id,election_year,ahcb_county,Adam Wolfram,Beaman Brockway,Bill Hydorn,Bill Mallery,David Chamberlain,David Knapp,David Nicholas,Gayer Gardner,Hachaliah Dulittle,Harris Kellogg,Hezekiah L. Hosmer,Jacob R. Van Rensselaer,James J. Van Alen,John Bishop,Killiam Miller,Nicholas MacIntyre,Samuel Ten Broeck,Thomas P. Grosvenor,Thomas Truesdell,William Durfree
Columbia,ny.uscongress5.1812,1812,COLUMBIA,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,1538.0,13.0,2.0
Dutchess,ny.uscongress5.1812,1812,DUTCHESS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,0.0
