county,election_id,election_year,ahcb_county,Henry Coffin,Henry Huntington,Jedediah Peck,John Broome,Jonathan Burkin,Morgan Lewis,Nathan Williams,Robert R. Gold,Thomas R. Gold
Herkimer,ny.uscongress15.1804,1804,HERKIMER,0.0,2.0,1.0,1.0,0.0,1.0,1264.0,1.0,562.0
Oneida,ny.uscongress15.1804,1804,ONEIDA,1.0,3.0,0.0,0.0,1.0,0.0,2369.0,0.0,2134.0
