county,election_id,election_year,ahcb_county,Hermanus Peck,Isaac H. Tiffany,John Peaslee
Schenectady,ny.uscongress13.1818,1818,SCHENECTADY,808.0,599.0,0.0
Schoharie,ny.uscongress13.1818,1818,SCHOHARIE,1328.0,1084.0,1.0
