county,election_id,election_year,ahcb_county,John Gebhard,William Mann
Schenectady,ny.uscongress13.1821,1821,SCHENECTADY,720.0,746.0
Schoharie,ny.uscongress13.1821,1821,SCHOHARIE,1600.0,1483.0
