county,election_id,election_year,ahcb_county,John Schenck,John Smith,Joshua Sands,Morris Fosdyck,Oliver Hudson,Oliver Hulet
Queens,ny.uscongress1.1802,1802,QUEENS,0.0,397.0,3.0,0.0,0.0,3.0
Suffolk,ny.uscongress1.1802,1802,SUFFOLK,5.0,1133.0,0.0,1.0,1.0,0.0
