county,election_id,election_year,ahcb_county,Henry A. Livingston,Henry B. Lee,James D. Livingston,James Van Alen,Philip Schuyler
Columbia,ny.uscongress5.1816,1816,COLUMBIA,1.0,3.0,0.0,1746.0,2371.0
Dutchess,ny.uscongress5.1816,1816,DUTCHESS,3.0,3.0,1.0,452.0,783.0
