county,election_id,election_year,ahcb_county,Benoni Austin,Daniel MacCarty,Henry C. Houghtaling,Herman Carter,Jacob Haight,Leonard Bronk,Richard MacCarty,Thomas E. Barker
Delaware,ny.uscongress8.1821,1821,DELAWARE,0.0,1.0,0.0,0.0,1102.0,0.0,717.0,0.0
Greene,ny.uscongress8.1821,1821,GREENE,2.0,0.0,1.0,1.0,710.0,1.0,1875.0,1.0
