county,election_id,election_year,ahcb_county,Erastus Root,John Adams,John Coltso
Delaware,ny.uscongress8.1814,1814,DELAWARE,1263.0,824.0,0.0
Greene,ny.uscongress8.1814,1814,GREENE,951.0,1144.0,1.0
