county,election_id,election_year,ahcb_county,Abraham H. Schenck,Rufus King,William Tabor,William W. Van Wyck
Dutchess,ny.uscongress4.1821,1821,DUTCHESS,1.0,1.0,1946.0,1948.0
Putnam,ny.uscongress4.1821,1821,PUTNAM,0.0,0.0,179.0,847.0
