county,election_id,election_year,ahcb_county,Eli Gage,George Skinner,"Henry Clark, Jr.",John W. Bulkley,Robert Skinner,Samuel Payne,Solomon Beebe,Thomas R. Gold,Thomas Skinner,Thomas Smith,Zebulon Douglass
Madison,ny.uscongress11.1810,1810,MADISON,3.0,1.0,2.0,2.0,0.0,4.0,3.0,1357.0,1322.0,1.0,2.0
Oneida,ny.uscongress11.1810,1810,ONEIDA,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2714.0,2353.0,0.0,0.0
