county,election_id,election_year,ahcb_county,Admiral Coodey,Amos Boyce,Billy Watson,David E. Evans,Elicum Edwards,Ezra Brackett,Gamaliel H. Barstow,George Hall,George O. Wattles,H. O. Wattles,James Geddes,Jared French,Jesse Searl,John Keep,Joseph Reynolds,Joshua Forman,Lemuel Tyler,Luther Marsh,Mikah Hotchkiss,Perry G. Childs,Samuel Payne,Solomon Judd,Thaddeus M. Wood,Thomas French,Victory Birdseye,William B. Wilkinson,Willis Gaylord,Zachariah Kinne
Cortland,ny.uscongress19.1818,1818,CORTLAND,0.0,0.0,1.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Onondaga,ny.uscongress19.1818,1818,ONONDAGA,1.0,1.0,0.0,4.0,1.0,1.0,6.0,1667.0,8.0,49.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0,5.0,0.0,2.0,4.0,4.0,1.0
