county,election_id,election_year,ahcb_county,Alexander Boyd,David Boyd,Jesse Shephard,John Gebhard
Schenectady,ny.uscongress13.1812,1812,SCHENECTADY,657.0,1.0,1.0,568.0
Schoharie,ny.uscongress13.1812,1812,SCHOHARIE,1065.0,0.0,207.0,866.0
