county,election_id,election_year,ahcb_county,Abraham Rose,Cornelius D. Clark,Jeremiah H. Pierson,John T. Smith,Peter S. Van Orden,Peter Stephen
Rockland,ny.uscongress3.1821,1821,ROCKLAND,0.0,1.0,418.0,161.0,275.0,1.0
Westchester,ny.uscongress3.1821,1821,WESTCHESTER,1.0,0.0,1445.0,1177.0,56.0,0.0
