county,election_id,election_year,ahcb_county,Andrew Backus,Barent Gardenier,Garrit Abeel,John Dill,Joseph Hasbrouck,Joseph Masbrouck,Moses M. Cantine,Petrus Elmendorf,Samuel Ten Broeck,Thomas B. Cook
Greene,ny.uscongress5.1808,1808,GREENE,1.0,1177.0,1.0,781.0,0.0,0.0,0.0,0.0,1.0,1.0
Ulster,ny.uscongress5.1808,1808,ULSTER,0.0,1500.0,1.0,1278.0,1.0,9.0,1.0,1.0,0.0,0.0
