county,election_id,election_year,ahcb_county,Abraham Bockee,Abraham H. Schenck,Cornwall Brush,Edward P. Livingston,Thomas P. Grosvenor
Columbia,ny.uscongress5.1814,1814,COLUMBIA,0.0,0.0,1.0,1575.0,2411.0
Dutchess,ny.uscongress5.1814,1814,DUTCHESS,5.0,1.0,0.0,434.0,663.0
