county,election_id,election_year,ahcb_county,Charles H. Ruggles,David Hammond,Lemuel Jenkins
Sullivan,ny.uscongress7.1822,1822,SULLIVAN,613.0,1.0,766.0
Ulster,ny.uscongress7.1822,1822,ULSTER,1640.0,0.0,2098.0
