county,election_id,election_year,ahcb_county,Albert H. Tracy,Daniel W. Lewis,Elijah Spencer,Henry Seymour,James MacCall,Nathaniel Allen,Nathaniel Rochester,Nathaniel Wager,Roswell Hart
Monroe,ny.uscongress21.1821,1821,MONROE,1.0,0.0,1633.0,1.0,1.0,1557.0,9.0,0.0,2.0
Ontario,ny.uscongress21.1821,1821,ONTARIO,0.0,159.0,3165.0,0.0,0.0,3135.0,0.0,1.0,0.0
