county,election_id,election_year,ahcb_county,Abraham Keyser,Alexander Humphrey,Benjamin M. Mumford,Constant Brown,Henry Green,Isaac H. Tiffany,Jacob Gebhard,James Frost,Joseph Green,Samuel W. Jones,Stephen Van Rensselaer,William Deitz
Schenectady,ny.uscongress12.1824,1824,SCHENECTADY,2.0,0.0,1.0,773.0,31.0,0.0,0.0,1.0,2.0,1.0,1.0,831.0
Schoharie,ny.uscongress12.1824,1824,SCHOHARIE,0.0,1.0,0.0,1356.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,1979.0
