county,election_id,election_year,ahcb_county,Brown Smith,Daniel D. Tompkins,George Tibbits,James Geddes,James Porter,John Miller,Josephus Barker,Nicholas P. Randall,Rugus King,Samuel M. Hopkins,Samuel Porter,Samuel Tyler,Thaddeus M. Wood,Theodore Sill,Valentine Brother
Cortland,ny.uscongress19.1816,1816,CORTLAND,1.0,0.0,0.0,622.0,894.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Onondaga,ny.uscongress19.1816,1816,ONONDAGA,0.0,1.0,1.0,1622.0,1895.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
