county,election_id,election_year,ahcb_county,Charles Vorce,George Tiffany,Henry Glen,Killian K. Van Rensselaer,Robert Yates,Silvester Tiffany,Stephen Lush
Albany,ny.uscongress8.1800,1800,ALBANY,1.0,257.0,257.0,1516.0,3.0,1.0,2.0
Schoharie,ny.uscongress8.1800,1800,SCHOHARIE,0.0,856.0,1.0,61.0,0.0,0.0,0.0
