county,election_id,election_year,ahcb_county,Egbert Benson,Theodorus Bailey
Dutchess,ny.uscongress3.1789,1789,DUTCHESS,0.0,0.0
Westchester,ny.uscongress3.1789,1789,WESTCHESTER,0.0,0.0
