county,election_id,election_year,ahcb_county,Philip Van Cortlandt,Samuel Haight
Richmond,ny.uscongress3.1796,1796,RICHMOND,58.0,144.0
Westchester,ny.uscongress3.1796,1796,WESTCHESTER,958.0,859.0
