county,election_id,election_year,ahcb_county,Charles A. Foot,Dorrance Kirtland,Samuel Sherwood,"Thomas MacLaughry, Jr."
Delaware,ny.uscongress8.1816,1816,DELAWARE,1.0,1359.0,739.0,1.0
Greene,ny.uscongress8.1816,1816,GREENE,0.0,1013.0,1163.0,0.0
