county,election_id,election_year,ahcb_county,Cornelius C. Schoonmaker,Jesse Woodhull,John Carpenter,John Hathorn,Peter Van Gaasbeck,William Thompson
Orange,ny.uscongress4.1793,1793,ORANGE,32.0,19.0,72.0,762.0,104.0,39.0
Ulster,ny.uscongress4.1793,1793,ULSTER,21.0,0.0,0.0,686.0,1360.0,1.0
