county,election_id,election_year,ahcb_county,Asa Emmons,Charles Mason,Ebenezer Foote,Erastus Root,Francis Henry,Gabriel North,Henry Lowther,Isaac Hays,John Root,Luther Rich,Robert North,William Slack
Delaware,ny.uscongress12.1808,1808,DELAWARE,1.0,0.0,134.0,552.0,0.0,549.0,1.0,0.0,1.0,0.0,1.0,0.0
Otsego,ny.uscongress12.1808,1808,OTSEGO,0.0,1.0,485.0,1653.0,4.0,1085.0,0.0,1.0,0.0,1.0,0.0,1.0
