county,election_id,election_year,ahcb_county,Conrad E. Elmendorf,Lucas Elmendorf
Orange,ny.uscongress4.1796,1796,ORANGE,239.0,606.0
Ulster,ny.uscongress4.1796,1796,ULSTER,1275.0,1331.0
