county,election_id,election_year,ahcb_county,Theodorus R. Van Wyck,Thomas J. Oakley
Dutchess,ny.uscongress4.1812,1812,DUTCHESS,944.0,1687.0
Putnam,ny.uscongress4.1812,1812,PUTNAM,545.0,313.0
