county,election_id,election_year,ahcb_county,Abraham Ten Broeck,Jeremiah Van Rensselaer
Albany,ny.uscongress6.1789,1789,ALBANY,0.0,0.0
Montgomery,ny.uscongress6.1789,1789,MONTGOMERY,0.0,0.0
