county,election_id,election_year,ahcb_county,Abraham Odell,Caleb Tompkins,Cornelius A. Blauvelt,John Jay,Jonathan Ward,Nathan Merrit,Thomas Tompkins,William Barker,William Requa
Rockland,ny.uscongress3.1816,1816,ROCKLAND,29.0,445.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Westchester,ny.uscongress3.1816,1816,WESTCHESTER,1318.0,1342.0,4.0,1.0,0.0,1.0,3.0,3.0,3.0
