county,election_id,election_year,ahcb_county,John Broome,John Laurence,Philip Pell
New York,ny.uscongress2.1789,1789,NEW YORK,280.0,2251.0,2.0
Westchester,ny.uscongress2.1789,1789,WESTCHESTER,92.0,291.0,31.0
