county,election_id,election_year,ahcb_county,Abraham Miller,Abraham Odell,Benjamin Isaacs,Darius Crosby,John Townsend,Jonathan Ward,Nathan Hyatt,Peter J. Munro,Peter Stephens,Philip Van Cortlandt,Richard V. Morris,William Requa
Rockland,ny.uscongress3.1814,1814,ROCKLAND,0.0,0.0,0.0,0.0,0.0,316.0,0.0,0.0,1.0,133.0,52.0,0.0
Westchester,ny.uscongress3.1814,1814,WESTCHESTER,0.0,0.0,0.0,7.0,0.0,1188.0,0.0,0.0,0.0,215.0,1394.0,0.0
