county,election_id,election_year,ahcb_county,Abijah Paine,Ebenezer Merritt,Henry C. Houghtaling,Isaac Burr,John Ely,Jonathan Keyes,Peter Bogart,Samuel Sherwood,William Avery
Delaware,ny.uscongress8.1812,1812,DELAWARE,1.0,1.0,0.0,1.0,1370.0,0.0,1.0,1042.0,0.0
Greene,ny.uscongress8.1812,1812,GREENE,0.0,0.0,1.0,0.0,620.0,1.0,0.0,1261.0,1.0
